"","wavenumber","spectra"
"Mater-Bi_Bioplastic_21",675,0.0708934698938043
"Mater-Bi_Bioplastic_22",677,0.0721701234809024
"Mater-Bi_Bioplastic_23",679,0.0722697221324768
"Mater-Bi_Bioplastic_24",681,0.0710790611629815
"Mater-Bi_Bioplastic_25",683,0.0718282154487171
"Mater-Bi_Bioplastic_26",685,0.0735547550706259
"Mater-Bi_Bioplastic_27",687,0.0740946920745262
"Mater-Bi_Bioplastic_28",688,0.0753209851162785
"Mater-Bi_Bioplastic_29",690,0.0760822594387554
"Mater-Bi_Bioplastic_210",692,0.0761572441024493
"Mater-Bi_Bioplastic_211",694,0.0774471006746148
"Mater-Bi_Bioplastic_212",696,0.078872225202882
"Mater-Bi_Bioplastic_213",698,0.0802319277864247
"Mater-Bi_Bioplastic_214",700,0.0830349376751041
"Mater-Bi_Bioplastic_215",702,0.0855690935797208
"Mater-Bi_Bioplastic_216",704,0.0874067458125209
"Mater-Bi_Bioplastic_217",706,0.0869417354432331
"Mater-Bi_Bioplastic_218",708,0.0863244023760152
"Mater-Bi_Bioplastic_219",710,0.0869804142363372
"Mater-Bi_Bioplastic_220",712,0.0876026131973302
"Mater-Bi_Bioplastic_221",714,0.0875737614361862
"Mater-Bi_Bioplastic_222",715,0.0887056233578569
"Mater-Bi_Bioplastic_223",717,0.0923996977324297
"Mater-Bi_Bioplastic_224",719,0.0988217989538393
"Mater-Bi_Bioplastic_225",721,0.112111743945435
"Mater-Bi_Bioplastic_226",723,0.136157725051847
"Mater-Bi_Bioplastic_227",725,0.173113501519578
"Mater-Bi_Bioplastic_228",727,0.201084715797554
"Mater-Bi_Bioplastic_229",729,0.193577974308098
"Mater-Bi_Bioplastic_230",731,0.17002092591344
"Mater-Bi_Bioplastic_231",733,0.145458652569005
"Mater-Bi_Bioplastic_232",735,0.119097100813385
"Mater-Bi_Bioplastic_233",737,0.0934416718541895
"Mater-Bi_Bioplastic_234",739,0.0744996346898493
"Mater-Bi_Bioplastic_235",741,0.0657035931805943
"Mater-Bi_Bioplastic_236",742,0.0632503247907134
"Mater-Bi_Bioplastic_237",744,0.0619229503679667
"Mater-Bi_Bioplastic_238",746,0.0629686297372012
"Mater-Bi_Bioplastic_239",748,0.0648876077165027
"Mater-Bi_Bioplastic_240",750,0.0661646568174257
"Mater-Bi_Bioplastic_241",752,0.0671246479207522
"Mater-Bi_Bioplastic_242",754,0.0671757955724443
"Mater-Bi_Bioplastic_243",756,0.0667883083027225
"Mater-Bi_Bioplastic_244",758,0.0673677163292618
"Mater-Bi_Bioplastic_245",760,0.0670329622044248
"Mater-Bi_Bioplastic_246",762,0.0653864254792228
"Mater-Bi_Bioplastic_247",764,0.0640019363953977
"Mater-Bi_Bioplastic_248",766,0.0633955376521248
"Mater-Bi_Bioplastic_249",768,0.0620772895262012
"Mater-Bi_Bioplastic_250",769,0.0600283184842044
"Mater-Bi_Bioplastic_251",771,0.058376380833904
"Mater-Bi_Bioplastic_252",773,0.0571054522441621
"Mater-Bi_Bioplastic_253",775,0.0565559898398776
"Mater-Bi_Bioplastic_254",777,0.0567654460752386
"Mater-Bi_Bioplastic_255",779,0.0565876516766732
"Mater-Bi_Bioplastic_256",781,0.0561352056127787
"Mater-Bi_Bioplastic_257",783,0.0553412275343612
"Mater-Bi_Bioplastic_258",785,0.055035380433461
"Mater-Bi_Bioplastic_259",787,0.0550587970966651
"Mater-Bi_Bioplastic_260",789,0.0557642549659358
"Mater-Bi_Bioplastic_261",791,0.0567057113102035
"Mater-Bi_Bioplastic_262",793,0.0576749036737723
"Mater-Bi_Bioplastic_263",795,0.0584892133418514
"Mater-Bi_Bioplastic_264",796,0.0581226520579977
"Mater-Bi_Bioplastic_265",798,0.0570655804564945
"Mater-Bi_Bioplastic_266",800,0.0564595838681712
"Mater-Bi_Bioplastic_267",802,0.0552527355913826
"Mater-Bi_Bioplastic_268",804,0.055120376621887
"Mater-Bi_Bioplastic_269",806,0.0558135881016329
"Mater-Bi_Bioplastic_270",808,0.0561288302333096
"Mater-Bi_Bioplastic_271",810,0.0563557327293568
"Mater-Bi_Bioplastic_272",812,0.0559758491962152
"Mater-Bi_Bioplastic_273",814,0.0545930673950213
"Mater-Bi_Bioplastic_274",816,0.0539084375869379
"Mater-Bi_Bioplastic_275",818,0.0538050471607999
"Mater-Bi_Bioplastic_276",820,0.0537757994620906
"Mater-Bi_Bioplastic_277",822,0.0535512722414561
"Mater-Bi_Bioplastic_278",823,0.0534109341218933
"Mater-Bi_Bioplastic_279",825,0.053208783522589
"Mater-Bi_Bioplastic_280",827,0.0535910683402488
"Mater-Bi_Bioplastic_281",829,0.054088876697255
"Mater-Bi_Bioplastic_282",831,0.0540186888266601
"Mater-Bi_Bioplastic_283",833,0.0541575999893029
"Mater-Bi_Bioplastic_284",835,0.0552658553318316
"Mater-Bi_Bioplastic_285",837,0.0556739488595184
"Mater-Bi_Bioplastic_286",839,0.0561094575614559
"Mater-Bi_Bioplastic_287",841,0.0567621795045585
"Mater-Bi_Bioplastic_288",843,0.0571590496565142
"Mater-Bi_Bioplastic_289",845,0.0576404348244913
"Mater-Bi_Bioplastic_290",847,0.0580647656541375
"Mater-Bi_Bioplastic_291",849,0.0582065166318571
"Mater-Bi_Bioplastic_292",850,0.0584528910920959
"Mater-Bi_Bioplastic_293",852,0.0591905647270072
"Mater-Bi_Bioplastic_294",854,0.0599048655143049
"Mater-Bi_Bioplastic_295",856,0.0599718229276239
"Mater-Bi_Bioplastic_296",858,0.0605398553881984
"Mater-Bi_Bioplastic_297",860,0.0614205884508347
"Mater-Bi_Bioplastic_298",862,0.0618973076296034
"Mater-Bi_Bioplastic_299",864,0.0621022915202455
"Mater-Bi_Bioplastic_2100",866,0.0628566854769583
"Mater-Bi_Bioplastic_2101",868,0.0649500420932207
"Mater-Bi_Bioplastic_2102",870,0.0703475377498735
"Mater-Bi_Bioplastic_2103",872,0.0779733477436954
"Mater-Bi_Bioplastic_2104",874,0.0807028796119829
"Mater-Bi_Bioplastic_2105",876,0.0761536731105859
"Mater-Bi_Bioplastic_2106",877,0.0701419946774443
"Mater-Bi_Bioplastic_2107",879,0.0648082916838262
"Mater-Bi_Bioplastic_2108",881,0.0607072385878894
"Mater-Bi_Bioplastic_2109",883,0.0582893543815083
"Mater-Bi_Bioplastic_2110",885,0.0568387524037137
"Mater-Bi_Bioplastic_2111",887,0.055994227790458
"Mater-Bi_Bioplastic_2112",889,0.0558558639957835
"Mater-Bi_Bioplastic_2113",891,0.0561311530351469
"Mater-Bi_Bioplastic_2114",893,0.0569047931410159
"Mater-Bi_Bioplastic_2115",895,0.0578911527216711
"Mater-Bi_Bioplastic_2116",897,0.0589735186154703
"Mater-Bi_Bioplastic_2117",899,0.0601515072703805
"Mater-Bi_Bioplastic_2118",901,0.0617218057034274
"Mater-Bi_Bioplastic_2119",903,0.063303831839408
"Mater-Bi_Bioplastic_2120",904,0.0647653369808592
"Mater-Bi_Bioplastic_2121",906,0.0662155397800743
"Mater-Bi_Bioplastic_2122",908,0.0679081358604901
"Mater-Bi_Bioplastic_2123",910,0.070130816658745
"Mater-Bi_Bioplastic_2124",912,0.073120883061052
