,wavenumber,spectra_raw,spectra_proc,spectra_match
spectra1,675,0.550298089,0.260179235,0.301334312
spectra3,677,0.54875526,0.260494851,0.306760757
spectra5,679,0.547537272,0.260384016,0.307184104
spectra7,681,0.545744623,0.259548772,0.302123172
spectra9,683,0.542451192,0.257847904,0.305307469
spectra11,685,0.539433993,0.255984257,0.312646165
spectra13,687,0.537379639,0.254677758,0.31494118
spectra14,688,0.53636566,0.254369037,0.320153567
spectra16,690,0.534980085,0.254171818,0.32338938
spectra18,692,0.534305374,0.25452744,0.323708105
spectra20,694,0.534056112,0.255709329,0.329190669
spectra22,696,0.534759664,0.257506148,0.335248194
spectra24,698,0.535873206,0.259806705,0.341027641
spectra26,700,0.536995728,0.262469798,0.352941898
spectra28,702,0.538527573,0.265106488,0.363713386
spectra30,704,0.539478644,0.266813425,0.371524368
spectra32,706,0.538322543,0.266333254,0.369547831
spectra34,708,0.535112414,0.26406619,0.366923843
spectra36,710,0.532373656,0.262585108,0.369712236
spectra38,712,0.533861333,0.264409289,0.372356907
spectra40,714,0.539435347,0.270694445,0.372234272
spectra41,715,0.543724488,0.275748331,0.377045277
spectra43,717,0.557107395,0.291626717,0.392747024
spectra45,719,0.581887255,0.320165371,0.420044312
spectra47,721,0.626257343,0.371414511,0.476533527
spectra49,723,0.697980422,0.462840616,0.578741518
spectra51,725,0.807871528,0.582168427,0.73582289
spectra53,727,0.906379259,0.661326467,0.854715175
spectra55,729,0.87620265,0.6404781,0.822807599
spectra57,731,0.749865395,0.520063215,0.722677827
spectra59,733,0.611349476,0.362031761,0.618275323
spectra61,735,0.488218998,0.22314542,0.506224946
spectra63,737,0.393833926,0.119617513,0.397175959
spectra65,739,0.336315615,0.055187431,0.316662398
spectra67,741,0.310471715,0.025058419,0.279274623
spectra68,742,0.305357871,0.019102548,0.268846949
spectra70,744,0.303209012,0.01695903,0.263204914
spectra72,746,0.305138958,0.019919841,0.267649598
spectra74,748,0.307290044,0.022984722,0.275806258
spectra76,750,0.307915744,0.024105427,0.281234384
spectra78,752,0.306246324,0.02242409,0.285314848
spectra80,754,0.301748538,0.01792637,0.285532253
spectra82,756,0.295605052,0.011113977,0.283885229
spectra84,758,0.289032944,0.004663549,0.286348016
spectra86,760,0.282953923,0.000710717,0.284925136
spectra88,762,0.276604437,0.000451656,0.277926494
spectra90,764,0.269840334,9.25E-05,0.272041692
spectra92,766,0.262404004,0,0.26946418
spectra94,768,0.254905723,0,0.263860936
spectra95,769,0.251443796,0,0.255151738
spectra97,771,0.245285095,0,0.248130139
spectra99,773,0.239693711,0,0.242728028
spectra101,775,0.235158221,0,0.240392526
spectra103,777,0.231504159,0,0.241282824
spectra105,779,0.228706747,0,0.240527105
spectra107,781,0.226351508,0,0.238603973
spectra109,783,0.224672125,0,0.235229151
spectra111,785,0.223934223,0,0.233929141
spectra113,787,0.224537723,0,0.234028674
spectra115,789,0.225720254,0,0.237027239
spectra117,791,0.227355948,0,0.24102892
spectra119,793,0.230085066,0,0.245148495
spectra121,795,0.232015565,0,0.248609736
spectra122,796,0.230963743,0,0.247051659
spectra124,798,0.225133107,0,0.242558552
spectra126,800,0.219392214,0,0.23998275
spectra128,802,0.217305761,0,0.234853014
spectra130,804,0.217177509,0,0.234290419
spectra132,806,0.216401393,0,0.23723693
spectra134,808,0.215002967,0,0.238576874
spectra136,810,0.214597023,0,0.239541328
spectra138,812,0.215057079,0,0.237926625
spectra140,814,0.215182236,0,0.232049079
spectra142,816,0.214528017,0,0.229139045
spectra144,818,0.213465128,0,0.228699581
spectra146,820,0.212400305,0,0.228575263
spectra148,822,0.21198489,0,0.227620905
spectra149,823,0.211945957,0,0.227024395
spectra151,825,0.212343161,0,0.226165149
spectra153,827,0.213217961,0,0.227790059
spectra155,829,0.214465935,0,0.229906005
spectra157,831,0.216049439,0,0.22960767
spectra159,833,0.218417718,0,0.230198115
spectra161,835,0.221363887,0,0.23490878
spectra163,837,0.224640748,0,0.236643391
spectra165,839,0.227916237,0,0.23849453
spectra167,841,0.231234183,0,0.24126894
spectra169,843,0.233963267,0,0.242955845
spectra171,845,0.235981742,0,0.245001984
spectra173,847,0.237268057,0,0.246805612
spectra175,849,0.23831816,0,0.247408128
spectra176,850,0.238741786,0,0.248455348
spectra178,852,0.239449954,0,0.251590847
spectra180,854,0.24038416,0,0.254626998
spectra182,856,0.242193885,0,0.254911602
spectra184,858,0.244752926,0,0.257326037
spectra186,860,0.248074791,0,0.261069613
spectra188,862,0.251808235,0,0.263095919
spectra190,864,0.256937051,0.000468181,0.263967208
spectra192,866,0.265730726,0.002843174,0.267173776
spectra194,868,0.282848397,0.005375285,0.276071637
spectra196,870,0.314750953,0.030595246,0.299013815
spectra198,872,0.350208324,0.056468841,0.331427494
spectra200,874,0.350689122,0.057370295,0.343029432
spectra202,876,0.317709145,0.03188605,0.323692926
spectra203,877,0.300325454,0.017564132,0.29814015
spectra205,879,0.271652395,0.000274623,0.275469123
spectra207,881,0.249590422,0.002151353,0.258037503
spectra209,883,0.234642795,0,0.247760231
spectra211,885,0.227189458,0,0.241594415
spectra213,887,0.225703725,0,0.238004743
spectra215,889,0.227989327,0,0.237416625
spectra217,891,0.232389899,0,0.238586747
spectra219,893,0.237651579,0,0.241875122
spectra221,895,0.243178388,0,0.246067666
spectra223,897,0.24912656,0,0.250668287
spectra225,899,0.256509566,0,0.255675355
spectra227,901,0.265205954,0,0.262349944
spectra229,903,0.274651535,0,0.269074382
spectra230,904,0.279472903,0,0.275286543
spectra232,906,0.287868223,0.000283689,0.281450663
spectra234,908,0.293201169,0.000609643,0.288645082
spectra236,910,0.297985595,0.001705734,0.298092637
spectra238,912,0.305663818,0.00845531,0.310801983
spectra240,914,0.315819062,0.018323325,0.326487668
spectra242,916,0.324244221,0.027159019,0.339922365
spectra244,918,0.329031906,0.032863511,0.343779607
spectra246,920,0.333207154,0.037597254,0.342484001
spectra248,922,0.340046652,0.045012277,0.343520547
spectra250,924,0.35154601,0.057432278,0.350727975
spectra252,926,0.367563345,0.074939174,0.361523113
spectra254,928,0.386505866,0.095519285,0.373199086
spectra256,930,0.404918281,0.115393752,0.385914721
spectra257,931,0.412656248,0.123633296,0.399564826
spectra259,933,0.422581634,0.134183077,0.41121919
spectra261,935,0.423602225,0.13506463,0.417309654
spectra263,937,0.416285814,0.126928812,0.415387305
spectra265,939,0.403796551,0.113210257,0.408031456
spectra267,941,0.390379951,0.097993404,0.397599266
spectra269,943,0.378617948,0.084435177,0.38824645
spectra271,945,0.36944951,0.074073001,0.379858084
spectra273,947,0.36359215,0.067007173,0.373006354
spectra275,949,0.360008333,0.062684426,0.367744396
spectra277,951,0.357963402,0.060161032,0.36190935
spectra279,953,0.356904917,0.058761794,0.357288563
spectra281,955,0.356465007,0.057975522,0.35475911
spectra283,957,0.356093127,0.057210807,0.354263878
spectra284,958,0.355731969,0.056700279,0.354874997
spectra286,960,0.354596345,0.055259579,0.354824211
spectra288,962,0.353101868,0.053300701,0.35361026
spectra290,964,0.35129894,0.05107523,0.352949944
spectra292,966,0.349627797,0.04900026,0.354589321
spectra294,968,0.348562266,0.047672374,0.356599386
spectra296,970,0.348782197,0.047558958,0.35784018
spectra298,972,0.350301698,0.04902084,0.359247077
spectra300,974,0.353581821,0.052506556,0.361669964
spectra302,976,0.359311303,0.05879676,0.366748427
spectra304,978,0.368370886,0.068735061,0.374090705
spectra306,980,0.381021694,0.082605756,0.386053514
spectra308,982,0.3968216,0.099785601,0.40301649
spectra310,984,0.414435414,0.119124639,0.422581104
spectra311,985,0.423645628,0.129317611,0.445878111
spectra313,987,0.44272,0.150599197,0.472059273
