"","wavenumber","spectra"
"spectra1",678,0.162066705327293
"spectra2",684,0.110830809646804
"spectra3",690,0.0953867078134475
"spectra4",696,0.106013602838144
"spectra5",702,0.13299069773183
"spectra6",708,0.166597195505438
"spectra7",714,0.186769110161733
"spectra8",720,0.188514553550614
"spectra9",726,0.17559923130834
"spectra10",732,0.150457278641306
"spectra11",738,0.11532537604837
"spectra12",744,0.0728791522345311
"spectra13",750,0.0269334444773039
"spectra14",756,0.0122774400160755
"spectra15",762,0.0127415616988687
"spectra16",768,0.000828249262660862
"spectra17",774,9.91572208606089e-05
"spectra18",780,0.000956610010519573
"spectra19",786,0.000551544804279054
"spectra20",792,0
"spectra21",798,0
"spectra22",804,0
"spectra23",810,0
"spectra24",816,0
"spectra25",822,0
"spectra26",828,0
"spectra27",834,0
"spectra28",840,0.000933486407705776
"spectra29",846,0.000787395327172224
"spectra30",852,0.00139611956391506
"spectra31",858,0.00303678630588999
"spectra32",864,0.00413460489875258
"spectra33",870,0.00468957534250283
"spectra34",876,0.00470169763714073
"spectra35",882,0.00398970337181829
"spectra36",888,0.00193433949289627
"spectra37",894,0.000192888229665579
"spectra38",900,0.00290864062521056
"spectra39",906,0.000261272169270457
"spectra40",912,0.0108556272120792
"spectra41",918,0.0222289698688925
"spectra42",924,0.0322479012609253
"spectra43",930,0.0397544526973131
"spectra44",936,0.0441014454333116
"spectra45",942,0.0441179409100732
"spectra46",948,0.0389503535396894
"spectra47",954,0.0302660510071311
"spectra48",960,0.021136529726265
"spectra49",966,0.0193075532140066
"spectra50",972,0.028264812136326
"spectra51",978,0.0427710813832889
"spectra52",984,0.057030004794369
"spectra53",990,0.0812809447938208
"spectra54",996,0.115177830981121
"spectra55",1002,0.149670500568085
"spectra56",1008,0.178920630708961
"spectra57",1014,0.1979006173309
"spectra58",1020,0.206538243053522
"spectra59",1026,0.205497188450696
"spectra60",1032,0.197027940899488
"spectra61",1038,0.177184344382632
"spectra62",1044,0.144815128520791
"spectra63",1050,0.12120415471506
"spectra64",1056,0.112792278046342
"spectra65",1062,0.112512160322128
"spectra66",1068,0.113488314852536
"spectra67",1074,0.125022673899019
"spectra68",1080,0.15616513699834
"spectra69",1086,0.178854552570717
"spectra70",1092,0.198316857028107
"spectra71",1098,0.212710165431688
"spectra72",1104,0.213398918544067
"spectra73",1110,0.203385891568062
"spectra74",1116,0.188968477704752
"spectra75",1122,0.166615205532919
"spectra76",1128,0.13846164015074
"spectra77",1134,0.125351590487034
"spectra78",1140,0.129727232950693
"spectra79",1146,0.127015925536527
"spectra80",1152,0.130717582970719
"spectra81",1158,0.137290251278023
"spectra82",1164,0.135526207841756
"spectra83",1170,0.122294093864529
"spectra84",1176,0.102546951927642
"spectra85",1182,0.0807749924532097
"spectra86",1188,0.0598324254300525
"spectra87",1194,0.0459371763556079
"spectra88",1200,0.0396564432952717
"spectra89",1206,0.0365880459818806
"spectra90",1212,0.0371654908623137
"spectra91",1218,0.0507218380406708
"spectra92",1224,0.0796605172567229
"spectra93",1230,0.116752150891264
"spectra94",1236,0.153533866127947
"spectra95",1242,0.196378038067371
"spectra96",1248,0.240944239595423
"spectra97",1254,0.272968642533029
"spectra98",1260,0.28077962444277
"spectra99",1266,0.258607836430243
"spectra100",1272,0.213351352549529
"spectra101",1278,0.161109483767359
"spectra102",1284,0.109443753535937
"spectra103",1290,0.0595082091782836
"spectra104",1296,0.0162923472463548
"spectra105",1302,0.00621712656156247
"spectra106",1308,0.0100429737842162
