"","wavenumber","spectra"
"spectra1",675,0.300925750923045
"spectra2",676,0.300411990665837
"spectra3",677,0.300082068049793
"spectra4",678,0.299790729765609
"spectra5",679,0.29941602207011
"spectra6",680,0.298976894875519
"spectra7",681,0.298435727255756
"spectra8",682,0.297645942791952
"spectra9",683,0.296634743236515
"spectra10",684,0.295683444949181
"spectra11",685,0.294984814187928
"spectra12",686,0.294430787489627
"spectra13",687,0.293861407985895
"spectra14",688,0.293306922438822
"spectra15",689,0.292867507880547
"spectra16",690,0.292549232918482
"spectra17",691,0.292324591414351
"spectra18",692,0.292180272853588
"spectra19",693,0.292084947521261
"spectra20",694,0.292043966072169
"spectra21",695,0.292146418581501
"spectra22",696,0.292428697759801
"spectra23",697,0.292766125508088
"spectra24",698,0.293037628224803
"spectra25",699,0.293297251773491
"spectra26",700,0.293651469722107
"spectra27",701,0.294078731839867
"spectra28",702,0.294489146048538
"spectra29",703,0.294829560165975
"spectra30",704,0.295009231238332
"spectra31",705,0.294879881518357
"spectra32",706,0.294377027385892
"spectra33",707,0.293579141796308
"spectra34",708,0.292621596141879
"spectra35",709,0.291699645954357
"spectra36",710,0.291123929703381
"spectra37",711,0.291186254158888
"spectra38",712,0.291937452946058
"spectra39",713,0.293228978655881
"spectra40",714,0.294985554594482
"spectra41",715,0.297331034093737
"spectra42",716,0.300465383592616
"spectra43",717,0.304649361219411
"spectra44",718,0.310347734549979
"spectra45",719,0.318200013275254
"spectra46",720,0.328778339589382
"spectra47",721,0.342463411903774
"spectra48",722,0.359760298257623
"spectra49",723,0.38168455748652
"spectra50",724,0.409292906926586
"spectra51",725,0.44177755843186
"spectra52",726,0.473867971754459
"spectra53",727,0.495645659041891
"spectra54",728,0.497792448745074
"spectra55",729,0.479143841493776
"spectra56",730,0.447313775420037
"spectra57",731,0.410057406160547
"spectra58",732,0.371728208485476
"spectra59",733,0.334311173802116
"spectra60",734,0.299070848620617
"spectra61",735,0.26697833692946
"spectra62",736,0.238827353080274
"spectra63",737,0.215364676706078
"spectra64",738,0.197089625746889
"spectra65",739,0.183911285397221
"spectra66",740,0.175126776851276
"spectra67",741,0.169778772448133
"spectra68",742,0.166982310910599
"spectra69",743,0.165898912090419
"spectra70",744,0.165807226233928
"spectra71",745,0.166219765339141
"spectra72",746,0.166862600041477
"spectra73",747,0.167528972044795
"spectra74",748,0.168038903256586
"spectra75",749,0.168323414475321
"spectra76",750,0.168381061509747
"spectra77",751,0.168135091122174
"spectra78",752,0.1674681536292
"spectra79",753,0.166385715802572
"spectra80",754,0.165008578282514
"spectra81",755,0.163418170228216
"spectra82",756,0.161649066397013
"spectra83",757,0.159813932275462
"spectra84",758,0.158055165809129
"spectra85",759,0.156391850715619
"spectra86",760,0.154730906036092
"spectra87",761,0.153015057074689
"spectra88",762,0.151258744036507
"spectra89",763,0.149455634287492
"spectra90",764,0.147559853112033
"spectra91",765,0.145558582057664
"spectra92",766,0.143493360381663
"spectra93",767,0.141417394419087
"spectra94",768,0.139392990043559
"spectra95",769,0.137499865118208
"spectra96",770,0.135765653587723
"spectra97",771,0.134132033022195
"spectra98",772,0.132552563065118
"spectra99",773,0.131074432911655
"spectra100",774,0.129759745467745
"spectra101",775,0.128594239485691
"spectra102",776,0.127536597967648
"spectra103",777,0.126596047479776
"spectra104",778,0.125786902695977
"spectra105",779,0.125066306947325
"spectra106",780,0.124389597427919
"spectra107",781,0.123778364620489
"spectra108",782,0.123268926446795
"spectra109",783,0.122860008359262
"spectra110",784,0.12256729246888
"spectra111",785,0.12245649334163
"spectra112",786,0.122551664343497
"spectra113",787,0.122786511991701
"spectra114",788,0.123086585086082
"spectra115",789,0.123433168803153
"spectra116",790,0.123835935456432
"spectra117",791,0.124327634038581
"spectra118",792,0.1249851054553
"spectra119",793,0.125820028630705
"spectra120",794,0.126598856025721
"spectra121",795,0.126875705040448
"spectra122",796,0.126300525425135
"spectra123",797,0.124920402343912
"spectra124",798,0.123112092409788
"spectra125",799,0.121342320364994
"spectra126",800,0.119972734723086
"spectra127",801,0.11915959033596
"spectra128",802,0.118831776192451
"spectra129",803,0.118774142999378
"spectra130",804,0.11876164251348
"spectra131",805,0.118635348900871
"spectra132",806,0.11833723009749
"spectra133",807,0.117933563956864
"spectra134",808,0.117572513127333
"spectra135",809,0.117372572433105
"spectra136",810,0.11735052593361
"spectra137",811,0.117452521945654
"spectra138",812,0.117602103649938
"spectra139",813,0.117700156544285
"spectra140",814,0.117670544679527
"spectra141",815,0.117523010970552
"spectra142",816,0.117312790894005
"spectra143",817,0.117052614665007
"spectra144",818,0.116731559104106
"spectra145",819,0.116400702862477
"spectra146",820,0.116149269923252
"spectra147",821,0.116002172729158
"spectra148",822,0.115922104024061
"spectra149",823,0.115900813503423
"spectra150",824,0.115966886060983
"spectra151",825,0.116118021157436
"spectra152",826,0.11632870360921
"spectra153",827,0.116596397842771
"spectra154",828,0.11692135594275
"spectra155",829,0.117278841941506
"spectra156",830,0.11766909068658
"spectra157",831,0.118144767205974
"spectra158",832,0.118743107591786
"spectra159",833,0.119439840136901
"spectra160",834,0.120207850425223
"spectra161",835,0.121050927027588
"spectra162",836,0.121948260049782
"spectra163",837,0.122842850093342
"spectra164",838,0.123724306532559
"spectra165",839,0.124634023024269
"spectra166",840,0.125565807073221
"spectra167",841,0.126448413479884
"spectra168",842,0.127237027255756
"spectra169",843,0.127940789296826
"spectra170",844,0.128553830900041
"spectra171",845,0.129044574611077
"spectra172",846,0.129423279340386
"spectra173",847,0.129747985151389
"spectra174",848,0.130051244741755
"spectra175",849,0.130322224725161
"spectra176",850,0.130553881124248
"spectra177",851,0.130756082078407
"spectra178",852,0.130941136403236
"spectra179",853,0.131148664260527
"spectra180",854,0.131451998755445
"spectra181",855,0.131891052520224
"spectra182",856,0.132441631238332
"spectra183",857,0.133083463389338
"spectra184",858,0.133841021032981
"spectra185",859,0.134717080999793
"spectra186",860,0.135657554324829
"spectra187",861,0.136632727069073
"spectra188",862,0.137699155901265
"spectra189",863,0.138952744409873
"spectra190",864,0.140503804396516
"spectra191",865,0.142531371873055
"spectra192",866,0.145312549491807
"spectra193",867,0.149198714890087
"spectra194",868,0.154673199792574
"spectra195",869,0.162293343932794
"spectra196",870,0.172118836872667
"spectra197",871,0.18283259879693
"spectra198",872,0.191508393217175
"spectra199",873,0.194918284632932
"spectra200",874,0.191771313627878
"spectra201",875,0.183683349346609
"spectra202",876,0.173736498589797
"spectra203",877,0.164230377245385
"spectra204",878,0.1558831282514
"spectra205",879,0.148550762787803
"spectra206",880,0.142072266957063
"spectra207",881,0.136486363866418
"spectra208",882,0.1318842369218
"spectra209",883,0.12831238338519
"spectra210",884,0.125781650923045
"spectra211",885,0.12423659029247
"spectra212",886,0.12351553675586
"spectra213",887,0.123424130367144
