"","wavenumber","spectra"
"22d25ed494744031b961382c6addefa91",102,NA
"22d25ed494744031b961382c6addefa92",108,NA
"22d25ed494744031b961382c6addefa93",114,NA
"22d25ed494744031b961382c6addefa94",120,NA
"22d25ed494744031b961382c6addefa95",126,NA
"22d25ed494744031b961382c6addefa96",132,NA
"22d25ed494744031b961382c6addefa97",138,NA
"22d25ed494744031b961382c6addefa98",144,NA
"22d25ed494744031b961382c6addefa99",150,NA
"22d25ed494744031b961382c6addefa910",156,NA
"22d25ed494744031b961382c6addefa911",162,NA
"22d25ed494744031b961382c6addefa912",168,NA
"22d25ed494744031b961382c6addefa913",174,NA
"22d25ed494744031b961382c6addefa914",180,NA
"22d25ed494744031b961382c6addefa915",186,NA
"22d25ed494744031b961382c6addefa916",192,NA
"22d25ed494744031b961382c6addefa917",198,NA
"22d25ed494744031b961382c6addefa918",204,NA
"22d25ed494744031b961382c6addefa919",210,NA
"22d25ed494744031b961382c6addefa920",216,NA
"22d25ed494744031b961382c6addefa921",222,NA
"22d25ed494744031b961382c6addefa922",228,NA
"22d25ed494744031b961382c6addefa923",234,NA
"22d25ed494744031b961382c6addefa924",240,NA
"22d25ed494744031b961382c6addefa925",246,NA
"22d25ed494744031b961382c6addefa926",252,NA
"22d25ed494744031b961382c6addefa927",258,NA
"22d25ed494744031b961382c6addefa928",264,NA
"22d25ed494744031b961382c6addefa929",270,NA
"22d25ed494744031b961382c6addefa930",276,NA
"22d25ed494744031b961382c6addefa931",282,NA
"22d25ed494744031b961382c6addefa932",288,NA
"22d25ed494744031b961382c6addefa933",294,NA
"22d25ed494744031b961382c6addefa934",300,NA
"22d25ed494744031b961382c6addefa935",306,NA
"22d25ed494744031b961382c6addefa936",312,NA
"22d25ed494744031b961382c6addefa937",318,NA
"22d25ed494744031b961382c6addefa938",324,NA
"22d25ed494744031b961382c6addefa939",330,NA
"22d25ed494744031b961382c6addefa940",336,NA
"22d25ed494744031b961382c6addefa941",342,NA
"22d25ed494744031b961382c6addefa942",348,NA
"22d25ed494744031b961382c6addefa943",354,NA
"22d25ed494744031b961382c6addefa944",360,NA
"22d25ed494744031b961382c6addefa945",366,NA
"22d25ed494744031b961382c6addefa946",372,NA
"22d25ed494744031b961382c6addefa947",378,NA
"22d25ed494744031b961382c6addefa948",384,NA
"22d25ed494744031b961382c6addefa949",390,NA
"22d25ed494744031b961382c6addefa950",396,NA
"22d25ed494744031b961382c6addefa951",402,0.017
"22d25ed494744031b961382c6addefa952",408,0
"22d25ed494744031b961382c6addefa953",414,0
"22d25ed494744031b961382c6addefa954",420,0
"22d25ed494744031b961382c6addefa955",426,0
"22d25ed494744031b961382c6addefa956",432,0
"22d25ed494744031b961382c6addefa957",438,0
"22d25ed494744031b961382c6addefa958",444,0
"22d25ed494744031b961382c6addefa959",450,0.167
"22d25ed494744031b961382c6addefa960",456,0.399
"22d25ed494744031b961382c6addefa961",462,0.563
"22d25ed494744031b961382c6addefa962",468,0.703
"22d25ed494744031b961382c6addefa963",474,0.824
"22d25ed494744031b961382c6addefa964",480,0.898
"22d25ed494744031b961382c6addefa965",486,0.965
"22d25ed494744031b961382c6addefa966",492,1
"22d25ed494744031b961382c6addefa967",498,0.99
"22d25ed494744031b961382c6addefa968",504,0.944
"22d25ed494744031b961382c6addefa969",510,0.899
"22d25ed494744031b961382c6addefa970",516,0.832
"22d25ed494744031b961382c6addefa971",522,0.768
"22d25ed494744031b961382c6addefa972",528,0.713
"22d25ed494744031b961382c6addefa973",534,0.669
"22d25ed494744031b961382c6addefa974",540,0.661
"22d25ed494744031b961382c6addefa975",546,0.655
"22d25ed494744031b961382c6addefa976",552,0.649
"22d25ed494744031b961382c6addefa977",558,0.641
"22d25ed494744031b961382c6addefa978",564,0.633
"22d25ed494744031b961382c6addefa979",570,0.635
"22d25ed494744031b961382c6addefa980",576,0.638
"22d25ed494744031b961382c6addefa981",582,0.635
"22d25ed494744031b961382c6addefa982",588,0.617
"22d25ed494744031b961382c6addefa983",594,0.596
"22d25ed494744031b961382c6addefa984",600,0.582
"22d25ed494744031b961382c6addefa985",606,0.562
"22d25ed494744031b961382c6addefa986",612,0.557
"22d25ed494744031b961382c6addefa987",618,0.531
"22d25ed494744031b961382c6addefa988",624,0.511
