"","wavenumber","spectra"
"1beb1205d19ec8968a7325c3bd5c983f1",102,NA
"1beb1205d19ec8968a7325c3bd5c983f2",108,NA
"1beb1205d19ec8968a7325c3bd5c983f3",114,NA
"1beb1205d19ec8968a7325c3bd5c983f4",120,NA
"1beb1205d19ec8968a7325c3bd5c983f5",126,NA
"1beb1205d19ec8968a7325c3bd5c983f6",132,NA
"1beb1205d19ec8968a7325c3bd5c983f7",138,NA
"1beb1205d19ec8968a7325c3bd5c983f8",144,NA
"1beb1205d19ec8968a7325c3bd5c983f9",150,NA
"1beb1205d19ec8968a7325c3bd5c983f10",156,NA
"1beb1205d19ec8968a7325c3bd5c983f11",162,NA
"1beb1205d19ec8968a7325c3bd5c983f12",168,NA
"1beb1205d19ec8968a7325c3bd5c983f13",174,NA
"1beb1205d19ec8968a7325c3bd5c983f14",180,NA
"1beb1205d19ec8968a7325c3bd5c983f15",186,NA
"1beb1205d19ec8968a7325c3bd5c983f16",192,NA
"1beb1205d19ec8968a7325c3bd5c983f17",198,NA
"1beb1205d19ec8968a7325c3bd5c983f18",204,NA
"1beb1205d19ec8968a7325c3bd5c983f19",210,NA
"1beb1205d19ec8968a7325c3bd5c983f20",216,NA
"1beb1205d19ec8968a7325c3bd5c983f21",222,NA
"1beb1205d19ec8968a7325c3bd5c983f22",228,1
"1beb1205d19ec8968a7325c3bd5c983f23",234,0.306
"1beb1205d19ec8968a7325c3bd5c983f24",240,0.21
"1beb1205d19ec8968a7325c3bd5c983f25",246,0.12
"1beb1205d19ec8968a7325c3bd5c983f26",252,0.134
"1beb1205d19ec8968a7325c3bd5c983f27",258,0.066
"1beb1205d19ec8968a7325c3bd5c983f28",264,0.037
"1beb1205d19ec8968a7325c3bd5c983f29",270,0.019
"1beb1205d19ec8968a7325c3bd5c983f30",276,0.007
"1beb1205d19ec8968a7325c3bd5c983f31",282,0
"1beb1205d19ec8968a7325c3bd5c983f32",288,0
"1beb1205d19ec8968a7325c3bd5c983f33",294,0
"1beb1205d19ec8968a7325c3bd5c983f34",300,0
"1beb1205d19ec8968a7325c3bd5c983f35",306,0
"1beb1205d19ec8968a7325c3bd5c983f36",312,0
"1beb1205d19ec8968a7325c3bd5c983f37",318,0
"1beb1205d19ec8968a7325c3bd5c983f38",324,0.019
"1beb1205d19ec8968a7325c3bd5c983f39",330,0
"1beb1205d19ec8968a7325c3bd5c983f40",336,0
"1beb1205d19ec8968a7325c3bd5c983f41",342,0
"1beb1205d19ec8968a7325c3bd5c983f42",348,0.003
"1beb1205d19ec8968a7325c3bd5c983f43",354,0.009
"1beb1205d19ec8968a7325c3bd5c983f44",360,0.012
"1beb1205d19ec8968a7325c3bd5c983f45",366,0.016
"1beb1205d19ec8968a7325c3bd5c983f46",372,0.023
"1beb1205d19ec8968a7325c3bd5c983f47",378,0.033
"1beb1205d19ec8968a7325c3bd5c983f48",384,0.041
"1beb1205d19ec8968a7325c3bd5c983f49",390,0.05
"1beb1205d19ec8968a7325c3bd5c983f50",396,0.063
"1beb1205d19ec8968a7325c3bd5c983f51",402,0.073
"1beb1205d19ec8968a7325c3bd5c983f52",408,0.085
"1beb1205d19ec8968a7325c3bd5c983f53",414,0.098
"1beb1205d19ec8968a7325c3bd5c983f54",420,0.112
"1beb1205d19ec8968a7325c3bd5c983f55",426,0.124
"1beb1205d19ec8968a7325c3bd5c983f56",432,0.133
"1beb1205d19ec8968a7325c3bd5c983f57",438,0.144
"1beb1205d19ec8968a7325c3bd5c983f58",444,0.157
