"","wavenumber","spectra"
"spectra1",402,0.0683429021488433
"spectra2",408,0.0187939529792402
"spectra3",414,0.00687377515976376
"spectra4",420,0.0117588068588293
"spectra5",426,0.00104033329139282
"spectra6",432,0.0284251207002532
"spectra7",438,0.0724038791593123
"spectra8",444,0.11969013354451
"spectra9",450,0.167848224354372
"spectra10",456,0.21294146127588
"spectra11",462,0.252944113992089
"spectra12",468,0.277953242077617
"spectra13",474,0.288867680401182
"spectra14",480,0.288018374464065
"spectra15",486,0.28181122231557
"spectra16",492,0.270356492015013
"spectra17",498,0.257253756402504
"spectra18",504,0.242901605378052
"spectra19",510,0.227204344498079
"spectra20",516,0.215104943995852
"spectra21",522,0.206973573019701
"spectra22",528,0.201225233131896
"spectra23",534,0.198602992577523
"spectra24",540,0.198515866643625
"spectra25",546,0.19991833160228
"spectra26",552,0.201189355104098
"spectra27",558,0.2031102083429
"spectra28",564,0.205323866160573
"spectra29",570,0.207910907600741
"spectra30",576,0.210297542632536
"spectra31",582,0.211563310703142
"spectra32",588,0.212365982444495
"spectra33",594,0.212079053221328
"spectra34",600,0.210802722856387
"spectra35",606,0.208952632971528
"spectra36",612,0.206576374683946
"spectra37",618,0.204401782182597
"spectra38",624,0.202103061153491
"spectra39",630,0.199611332643896
"spectra40",636,0.196499481042324
"spectra41",642,0.193015056559773
"spectra42",648,0.188839861493448
"spectra43",654,0.183606344041124
"spectra44",660,0.17780075006916
"spectra45",666,0.17131301533826
"spectra46",672,0.164696700306339
"spectra47",678,0.15793555494395
"spectra48",684,0.150617991222191
"spectra49",690,0.142812164860628
"spectra50",696,0.134259696212619
"spectra51",702,0.126536548610806
"spectra52",708,0.118147791522829
"spectra53",714,0.108758837339141
"spectra54",720,0.0984120901645255
"spectra55",726,0.0874984464749177
"spectra56",732,0.076351209080851
"spectra57",738,0.0647675314141822
"spectra58",744,0.052836183310479
"spectra59",750,0.0406794946544488
"spectra60",756,0.0291717812920629
"spectra61",762,0.0198427634572566
"spectra62",768,0.0119146486891402
"spectra63",774,0.00574173046377175
"spectra64",780,0.00155078026884229
"spectra65",786,0.000639704887558442
"spectra66",792,0.00125657104335756
"spectra67",798,0.000864079502042266
"spectra68",804,0.000211675641658203
"spectra69",810,0
"spectra70",816,0
"spectra71",822,0
"spectra72",828,0
"spectra73",834,0
"spectra74",840,0
"spectra75",846,0
"spectra76",852,0
"spectra77",858,0
"spectra78",864,0
"spectra79",870,0
"spectra80",876,0
"spectra81",882,0
"spectra82",888,0
"spectra83",894,0
"spectra84",900,0
"spectra85",906,0
"spectra86",912,6.80768724134951e-05
"spectra87",918,0.000210075867116154
"spectra88",924,0.000214149534315449
"spectra89",930,4.26171225501276e-05
"spectra90",936,0.000446549530095299
"spectra91",942,0.00128332950702648
"spectra92",948,0.00252892339976572
"spectra93",954,0.00415756292417125
"spectra94",960,0.00619788172634748
"spectra95",966,0.00861307555388745
"spectra96",972,0.0112831450776208
"spectra97",978,0.0140751529433189
"spectra98",984,0.0169385574877009
"spectra99",990,0.0201168389870787
"spectra100",996,0.0234725518063665
"spectra101",1002,0.0267827108545185
"spectra102",1008,0.0295628965683117
"spectra103",1014,0.0314042751505126
"spectra104",1020,0.0323340049470109
"spectra105",1026,0.032509412902486
"spectra106",1032,0.0319246592470721
"spectra107",1038,0.0306509582918551
"spectra108",1044,0.0290483016645305
"spectra109",1050,0.0281513628927061
"spectra110",1056,0.0280373866852002
"spectra111",1062,0.028492811299012
"spectra112",1068,0.029001846405278
"spectra113",1074,0.0298728615413344
"spectra114",1080,0.0320584606316799
"spectra115",1086,0.0338947028905444
"spectra116",1092,0.0353836629453059
"spectra117",1098,0.0364648051229237
"spectra118",1104,0.036839857868397
"spectra119",1110,0.0366260883851999
"spectra120",1116,0.0360964616580019
"spectra121",1122,0.0352377439129007
"spectra122",1128,0.0343433463899702
"spectra123",1134,0.0340302989961637
"spectra124",1140,0.0346189471052636
"spectra125",1146,0.0345446300725206
"spectra126",1152,0.0346115096496684
"spectra127",1158,0.0346420722240403
"spectra128",1164,0.0342962915824995
"spectra129",1170,0.0336568193209604
"spectra130",1176,0.033207044056684
"spectra131",1182,0.0331362259754316
"spectra132",1188,0.0332424884422527
"spectra133",1194,0.0333809922312101
"spectra134",1200,0.0336159771913206
"spectra135",1206,0.0338313108607169
"spectra136",1212,0.0340763842868025
"spectra137",1218,0.0345409430798453
"spectra138",1224,0.0353171514488039
"spectra139",1230,0.036259790835611
"spectra140",1236,0.0370435293432564
"spectra141",1242,0.0377913392947145
"spectra142",1248,0.0386481342751733
"spectra143",1254,0.0394012179230084
"spectra144",1260,0.0391371249330028
"spectra145",1266,0.0375304334752588
"spectra146",1272,0.0348009144772128
"spectra147",1278,0.0314295407744081
"spectra148",1284,0.027797300080849
"spectra149",1290,0.0241575179616547
"spectra150",1296,0.0209187634390623
"spectra151",1302,0.0185282752087742
"spectra152",1308,0.0173060090620345
"spectra153",1314,0.0167762366786443
"spectra154",1320,0.016132278534429
"spectra155",1326,0.0154050775538781
"spectra156",1332,0.0145827952271735
"spectra157",1338,0.0137915779020343
"spectra158",1344,0.0130205515977546
"spectra159",1350,0.0123682466600685
"spectra160",1356,0.0119043504175678
"spectra161",1362,0.0114449140273309
"spectra162",1368,0.0108904673708744
"spectra163",1374,0.0102384566362223
"spectra164",1380,0.00948852315000292
"spectra165",1386,0.00893960102142988
"spectra166",1392,0.00825666071430481
"spectra167",1398,0.00740078724521623
"spectra168",1404,0.00629042264850185
"spectra169",1410,0.00514655466184748
"spectra170",1416,0.00402258088114965
"spectra171",1422,0.0030852254282187
"spectra172",1428,0.00239074412559528
"spectra173",1434,0.00201558561282301
"spectra174",1440,0.00173358027602536
"spectra175",1446,0.00168792189896986
"spectra176",1452,0.00149885451520592
"spectra177",1458,0.00118260890073061
"spectra178",1464,0.000762012921332591
"spectra179",1470,0.000395031621098206
"spectra180",1476,6.11915164343807e-05
"spectra181",1482,0.000151174657567665
"spectra182",1488,0.00014371562875732
"spectra183",1494,0
"spectra184",1500,0
"spectra185",1506,0
"spectra186",1512,0
"spectra187",1518,0
"spectra188",1524,0
"spectra189",1530,0
"spectra190",1536,0
"spectra191",1542,0
"spectra192",1548,0
"spectra193",1554,0
"spectra194",1560,0
"spectra195",1566,0
"spectra196",1572,0
"spectra197",1578,0
"spectra198",1584,0
"spectra199",1590,0
"spectra200",1596,0
"spectra201",1602,0
"spectra202",1608,0
"spectra203",1614,0
"spectra204",1620,0
"spectra205",1626,0
"spectra206",1632,0
"spectra207",1638,0
"spectra208",1644,0
"spectra209",1650,0
"spectra210",1656,0
"spectra211",1662,0
"spectra212",1668,0
"spectra213",1674,0
"spectra214",1680,0.00019335646886454
"spectra215",1686,4.83391172161347e-05
"spectra216",1692,0.000236324573056659
"spectra217",1698,0.000370599898657034
"spectra218",1704,0.000451165094017258
"spectra219",1710,0.000478020159137333
"spectra220",1716,0.000451165094017258
"spectra221",1722,0.000370599898657034
"spectra222",1728,0.000236324573056659
"spectra223",1734,4.83391172161348e-05
"spectra224",1740,0.000193356468864539
"spectra225",1746,0
"spectra226",1752,0
"spectra227",1758,0
"spectra228",1764,0
"spectra229",1770,0
"spectra230",1776,0
"spectra231",1782,0
"spectra232",1788,0
"spectra233",1794,0
"spectra234",1800,0
"spectra235",1806,0
"spectra236",1812,0
"spectra237",1818,0
"spectra238",1824,0
"spectra239",1830,0
"spectra240",1836,0
"spectra241",1842,0
"spectra242",1848,0
"spectra243",1854,0
"spectra244",1860,0
"spectra245",1866,0
"spectra246",1872,0
"spectra247",1878,0
"spectra248",1884,0
"spectra249",1890,0
"spectra250",1896,0
"spectra251",1902,0
"spectra252",1908,0
"spectra253",1914,0
"spectra254",1920,0
"spectra255",1926,0
"spectra256",1932,0
"spectra257",1938,0
"spectra258",1944,0
"spectra259",1950,0
"spectra260",1956,0
"spectra261",1962,0
"spectra262",1968,0
"spectra263",1974,0
"spectra264",1980,0
"spectra265",1986,0
"spectra266",1992,0
"spectra267",1998,0
"spectra268",2004,0
"spectra269",2010,0
"spectra270",2016,0
"spectra271",2022,0
"spectra272",2028,0
"spectra273",2034,0
"spectra274",2040,0
"spectra275",2046,0
"spectra276",2052,0
"spectra277",2058,0
"spectra278",2064,0
"spectra279",2070,0
"spectra280",2076,0
"spectra281",2082,0
"spectra282",2088,0
"spectra283",2094,0
"spectra284",2100,0
"spectra285",2106,0
"spectra286",2112,0
"spectra287",2118,0
"spectra288",2124,0
"spectra289",2130,0
"spectra290",2136,0
"spectra291",2142,0
"spectra292",2148,0
"spectra293",2154,0
"spectra294",2160,0
"spectra295",2166,0
"spectra296",2172,0
"spectra297",2178,0
"spectra298",2184,0
"spectra299",2190,0
"spectra300",2196,0
"spectra301",2202,0
"spectra302",2208,0
"spectra303",2214,0
"spectra304",2220,0
"spectra305",2226,0
"spectra306",2232,0
"spectra307",2238,0
"spectra308",2244,0
"spectra309",2250,0
"spectra310",2256,0
"spectra311",2262,0
"spectra312",2268,0
"spectra313",2274,0
"spectra314",2280,0
"spectra315",2286,0
"spectra316",2292,0
"spectra317",2298,0
"spectra318",2304,0
"spectra319",2310,0
"spectra320",2316,0
"spectra321",2322,0
"spectra322",2328,0
"spectra323",2334,1.10436929762584e-05
"spectra324",2340,3.27067634008306e-05
"spectra325",2346,3.71060074131874e-05
