"","wavenumber","spectra"
"spectra1",402,0.843527480340108
"spectra2",408,0.683614515785107
"spectra3",414,0.708756898568761
"spectra4",420,0.715063802074258
"spectra5",426,0.718340776374196
"spectra6",432,0.704500571001867
"spectra7",438,0.72951494358017
"spectra8",444,0.769169066791122
"spectra9",450,0.830166276540137
"spectra10",456,0.869364883177764
"spectra11",462,0.898192349139183
"spectra12",468,0.902463095146235
"spectra13",474,0.888658593590541
"spectra14",480,0.893791414436839
"spectra15",486,0.886456421447833
"spectra16",492,0.858371427442439
"spectra17",498,0.83648135032151
"spectra18",504,0.815023710931342
"spectra19",510,0.789742346919726
"spectra20",516,0.764571364302012
"spectra21",522,0.750618167330429
"spectra22",528,0.739108696474492
"spectra23",534,0.731423383243467
"spectra24",540,0.721482550840075
"spectra25",546,0.710667528666252
"spectra26",552,0.706112066521469
"spectra27",558,0.699922791993362
"spectra28",564,0.692188038145613
"spectra29",570,0.687410275793404
"spectra30",576,0.680792457726613
"spectra31",582,0.675299958058494
"spectra32",588,0.666804005289359
"spectra33",594,0.657724198465367
"spectra34",600,0.648501742803816
"spectra35",606,0.637617975860639
"spectra36",612,0.626973628189172
"spectra37",618,0.614776781207219
"spectra38",624,0.605692973470234
"spectra39",630,0.594349563472309
"spectra40",636,0.583557867517113
"spectra41",642,0.572609010910599
"spectra42",648,0.563240911387679
"spectra43",654,0.553535003152873
"spectra44",660,0.542696106639004
"spectra45",666,0.534952730941518
"spectra46",672,0.52356369854832
"spectra47",678,0.513201911180253
"spectra48",684,0.502932244886953
"spectra49",690,0.492811199688861
"spectra50",696,0.482892117403028
"spectra51",702,0.470142575316324
"spectra52",708,0.457982447853143
"spectra53",714,0.447313006596142
"spectra54",720,0.436618796142679
"spectra55",726,0.427500792554956
"spectra56",732,0.408986803713693
"spectra57",738,0.393996800020747
"spectra58",744,0.381329031045209
"spectra59",750,0.369884273786811
"spectra60",756,0.357987367517113
"spectra61",762,0.34648829334163
"spectra62",768,0.33546536925949
"spectra63",774,0.326010965795478
"spectra64",780,0.317092418232732
"spectra65",786,0.309232107840697
"spectra66",792,0.302077194171334
"spectra67",798,0.29587354529241
"spectra68",804,0.290621578100373
"spectra69",810,0.286187245311203
"spectra70",816,0.283301237357395
"spectra71",822,0.280756789089401
"spectra72",828,0.279944227442439
"spectra73",834,0.279864360277951
"spectra74",840,0.280446162269239
"spectra75",846,0.281874013939017
"spectra76",852,0.28408137367766
"spectra77",858,0.286731161252852
"spectra78",864,0.289576574782248
"spectra79",870,0.294333468270427
"spectra80",876,0.296639821692244
"spectra81",882,0.299263485355735
"spectra82",888,0.301880936589919
"spectra83",894,0.305346366334785
"spectra84",900,0.308127733022195
"spectra85",906,0.310840074486621
"spectra86",912,0.314478017883817
"spectra87",918,0.317169102260473
"spectra88",924,0.319515849792617
"spectra89",930,0.323225813210286
"spectra90",936,0.325902690914748
"spectra91",942,0.328043676208256
"spectra92",948,0.330871489856876
"spectra93",954,0.333350604708567
"spectra94",960,0.336551776021572
"spectra95",966,0.339673548848787
"spectra96",972,0.343301663542099
"spectra97",978,0.347079071754459
"spectra98",984,0.351479928660307
"spectra99",990,0.355854126016598
"spectra100",996,0.360002478008299
"spectra101",1002,0.363504486514523
"spectra102",1008,0.367214904564315
"spectra103",1014,0.372306986307054
"spectra104",1020,0.374260526141079
"spectra105",1026,0.375114572463768
"spectra106",1032,0.373907019502075
"spectra107",1038,0.373129426141079
"spectra108",1044,0.373591901659751
"spectra109",1050,0.37429564813278
"spectra110",1056,0.37434507593361
"spectra111",1062,0.375289360580913
"spectra112",1068,0.377507888174274
"spectra113",1074,0.381164823236515
"spectra114",1080,0.383175357261411
"spectra115",1086,0.384164081950207
"spectra116",1092,0.386662614107884
"spectra117",1098,0.392010588381743
"spectra118",1104,0.39606754253112
"spectra119",1110,0.390545687344398
"spectra120",1116,0.393023346473029
"spectra121",1122,0.393480653112033
"spectra122",1128,0.392380081950207
"spectra123",1134,0.393068722821577
"spectra124",1140,0.396114957261411
"spectra125",1146,0.397834761410788
"spectra126",1152,0.398756432157676
"spectra127",1158,0.398863305809129
"spectra128",1164,0.39941139626556
"spectra129",1170,0.399830722406639
"spectra130",1176,0.40047592033195
"spectra131",1182,0.401550338589212
"spectra132",1188,0.402691301244813
"spectra133",1194,0.403829560995851
"spectra134",1200,0.405382788589212
"spectra135",1206,0.407139610788382
"spectra136",1212,0.407563760869565
"spectra137",1218,0.408949089419087
"spectra138",1224,0.410694081327801
"spectra139",1230,0.412331758921162
"spectra140",1236,0.414778239004149
"spectra141",1242,0.417433323236514
"spectra142",1248,0.419243953941909
"spectra143",1254,0.419617324481328
"spectra144",1260,0.419326275311203
