"","wavenumber","spectra"
"Cornstarch_Bioplastic_11",675,0.00573578432164763
"Cornstarch_Bioplastic_12",677,0.00486396051233262
"Cornstarch_Bioplastic_13",679,0.00347550058735224
"Cornstarch_Bioplastic_14",681,0.00473182961255684
"Cornstarch_Bioplastic_15",683,0.00565666724644882
"Cornstarch_Bioplastic_16",685,0.00564241186439965
"Cornstarch_Bioplastic_17",687,0.00400304404716888
"Cornstarch_Bioplastic_18",688,0.00314746167748409
"Cornstarch_Bioplastic_19",690,0.00414924705015462
"Cornstarch_Bioplastic_110",692,0.00418051063103313
"Cornstarch_Bioplastic_111",694,0.00340764937936542
"Cornstarch_Bioplastic_112",696,0.00361592059098247
"Cornstarch_Bioplastic_113",698,0.00447111088972318
"Cornstarch_Bioplastic_114",700,0.0046435890887788
"Cornstarch_Bioplastic_115",702,0.00482860749586403
"Cornstarch_Bioplastic_116",704,0.00506264968452854
"Cornstarch_Bioplastic_117",706,0.00561091088948229
"Cornstarch_Bioplastic_118",708,0.00647758052115188
"Cornstarch_Bioplastic_119",710,0.0076527216027427
"Cornstarch_Bioplastic_120",712,0.00854057588218497
"Cornstarch_Bioplastic_121",714,0.00737655004018793
"Cornstarch_Bioplastic_122",715,0.0068395127679235
"Cornstarch_Bioplastic_123",717,0.00744564273885303
"Cornstarch_Bioplastic_124",719,0.00653374469844429
"Cornstarch_Bioplastic_125",721,0.00481525754007631
"Cornstarch_Bioplastic_126",723,0.00322476656887742
"Cornstarch_Bioplastic_127",725,0.00177960157221567
"Cornstarch_Bioplastic_128",727,0.000750674964816155
"Cornstarch_Bioplastic_129",729,0.000645232662636803
"Cornstarch_Bioplastic_130",731,0.000375436092346947
"Cornstarch_Bioplastic_131",733,-0.000398933347060136
"Cornstarch_Bioplastic_132",735,-0.00100119672713402
"Cornstarch_Bioplastic_133",737,-0.00139791318250433
"Cornstarch_Bioplastic_134",739,-0.00127798365281647
"Cornstarch_Bioplastic_135",741,-0.000783628430644835
"Cornstarch_Bioplastic_136",742,-6.34023660977562e-05
"Cornstarch_Bioplastic_137",744,-8.5981795500026e-05
"Cornstarch_Bioplastic_138",746,-0.00105058948425374
"Cornstarch_Bioplastic_139",748,-0.00191535179393218
"Cornstarch_Bioplastic_140",750,-0.00219414954604045
"Cornstarch_Bioplastic_141",752,-0.00143037938015852
"Cornstarch_Bioplastic_142",754,-0.000413251670173044
"Cornstarch_Bioplastic_143",756,-0.000628403555340492
"Cornstarch_Bioplastic_144",758,-0.000946164846913663
"Cornstarch_Bioplastic_145",760,-0.00105578839508121
"Cornstarch_Bioplastic_146",762,-0.00132604603306024
"Cornstarch_Bioplastic_147",764,-0.00146414165130297
"Cornstarch_Bioplastic_148",766,-0.00158099078795629
"Cornstarch_Bioplastic_149",768,-0.00222482797892146
"Cornstarch_Bioplastic_150",769,-0.00235875068434394
"Cornstarch_Bioplastic_151",771,-0.00251638095002843
"Cornstarch_Bioplastic_152",773,-0.00265150874882151
"Cornstarch_Bioplastic_153",775,-0.00282586077097482
"Cornstarch_Bioplastic_154",777,-0.00322436336726121
"Cornstarch_Bioplastic_155",779,-0.00348465891054065
"Cornstarch_Bioplastic_156",781,-0.00374006228901298
"Cornstarch_Bioplastic_157",783,-0.00368796013598096
"Cornstarch_Bioplastic_158",785,-0.00368925200046851
"Cornstarch_Bioplastic_159",787,-0.00438070897518473
"Cornstarch_Bioplastic_160",789,-0.00459992089616321
"Cornstarch_Bioplastic_161",791,-0.00415880542472578
"Cornstarch_Bioplastic_162",793,-0.00470433002169657
"Cornstarch_Bioplastic_163",795,-0.00464074226700257
"Cornstarch_Bioplastic_164",796,-0.0036845151452269
"Cornstarch_Bioplastic_165",798,-0.00329850315262791
"Cornstarch_Bioplastic_166",800,-0.00384123456595598
"Cornstarch_Bioplastic_167",802,-0.00440822399429155
"Cornstarch_Bioplastic_168",804,-0.0035398008517364
"Cornstarch_Bioplastic_169",806,-0.00226587319684585
"Cornstarch_Bioplastic_170",808,-0.00186346269252397
"Cornstarch_Bioplastic_171",810,-0.00288712629630564
"Cornstarch_Bioplastic_172",812,-0.00419407674548885
"Cornstarch_Bioplastic_173",814,-0.00449978486405365
"Cornstarch_Bioplastic_174",816,-0.00518652048865268
"Cornstarch_Bioplastic_175",818,-0.00591672965948488
"Cornstarch_Bioplastic_176",820,-0.00575218602904088
"Cornstarch_Bioplastic_177",822,-0.00595442879609748
"Cornstarch_Bioplastic_178",823,-0.00611932405229029
"Cornstarch_Bioplastic_179",825,-0.00629742624393869
"Cornstarch_Bioplastic_180",827,-0.0064437921097563
"Cornstarch_Bioplastic_181",829,-0.00608206748240741
"Cornstarch_Bioplastic_182",831,-0.00602082272717536
"Cornstarch_Bioplastic_183",833,-0.00572518463570555
"Cornstarch_Bioplastic_184",835,-0.00525389005595559
"Cornstarch_Bioplastic_185",837,-0.00423923705952589
"Cornstarch_Bioplastic_186",839,-0.00216735815601121
"Cornstarch_Bioplastic_187",841,-0.000306069732833509
"Cornstarch_Bioplastic_188",843,-0.00112466808873858
"Cornstarch_Bioplastic_189",845,-0.00364618777989727
"Cornstarch_Bioplastic_190",847,-0.004697885740799
"Cornstarch_Bioplastic_191",849,-0.00523415228423556
"Cornstarch_Bioplastic_192",850,-0.00622936215417469
"Cornstarch_Bioplastic_193",852,-0.00676844551185053
"Cornstarch_Bioplastic_194",854,-0.00634322437583097
"Cornstarch_Bioplastic_195",856,-0.00547866573355332
"Cornstarch_Bioplastic_196",858,-0.00528778544045096
"Cornstarch_Bioplastic_197",860,-0.00563945480096637
"Cornstarch_Bioplastic_198",862,-0.00555027781718482
"Cornstarch_Bioplastic_199",864,-0.00490147879933168
"Cornstarch_Bioplastic_1100",866,-0.00439962573808045
"Cornstarch_Bioplastic_1101",868,-0.00309458828003505
"Cornstarch_Bioplastic_1102",870,0.00334812414608426
"Cornstarch_Bioplastic_1103",872,0.011901755485194
"Cornstarch_Bioplastic_1104",874,0.0122833383913789
"Cornstarch_Bioplastic_1105",876,0.00586042955235199
"Cornstarch_Bioplastic_1106",877,-0.000695183066930191
"Cornstarch_Bioplastic_1107",879,-0.00541819364143301
"Cornstarch_Bioplastic_1108",881,-0.00758563388244651
"Cornstarch_Bioplastic_1109",883,-0.00846943796330068
"Cornstarch_Bioplastic_1110",885,-0.00942072360755853
"Cornstarch_Bioplastic_1111",887,-0.00977500837807063
"Cornstarch_Bioplastic_1112",889,-0.00932509365949738
"Cornstarch_Bioplastic_1113",891,-0.00902148844725575
"Cornstarch_Bioplastic_1114",893,-0.00849413987221039
"Cornstarch_Bioplastic_1115",895,-0.00754551520660905
"Cornstarch_Bioplastic_1116",897,-0.0065511812943948
"Cornstarch_Bioplastic_1117",899,-0.00614587276099026
"Cornstarch_Bioplastic_1118",901,-0.0063860220026911
"Cornstarch_Bioplastic_1119",903,-0.00698602845757497
"Cornstarch_Bioplastic_1120",904,-0.00743410242721467
"Cornstarch_Bioplastic_1121",906,-0.00814477543541711
"Cornstarch_Bioplastic_1122",908,-0.00827262429680484
"Cornstarch_Bioplastic_1123",910,-0.00776654867289309
"Cornstarch_Bioplastic_1124",912,-0.00804971672300425
"Cornstarch_Bioplastic_1125",914,-0.00837487629453505
"Cornstarch_Bioplastic_1126",916,-0.00802371049099858
"Cornstarch_Bioplastic_1127",918,-0.007457582592959
"Cornstarch_Bioplastic_1128",920,-0.00725561166958591
"Cornstarch_Bioplastic_1129",922,-0.00723938159890106
"Cornstarch_Bioplastic_1130",924,-0.007464839841913
"Cornstarch_Bioplastic_1131",926,-0.00733717994536098
"Cornstarch_Bioplastic_1132",928,-0.00680820849257889
"Cornstarch_Bioplastic_1133",930,-0.00664357463793021
"Cornstarch_Bioplastic_1134",931,-0.00678255537334742
"Cornstarch_Bioplastic_1135",933,-0.00690824118148418
"Cornstarch_Bioplastic_1136",935,-0.0066221890382104
"Cornstarch_Bioplastic_1137",937,-0.00629699820123454
"Cornstarch_Bioplastic_1138",939,-0.00620581548880548
"Cornstarch_Bioplastic_1139",941,-0.00630213468584082
"Cornstarch_Bioplastic_1140",943,-0.00679452701755854
"Cornstarch_Bioplastic_1141",945,-0.00750966133912751
"Cornstarch_Bioplastic_1142",947,-0.00783906410276012
"Cornstarch_Bioplastic_1143",949,-0.00765945963235601
"Cornstarch_Bioplastic_1144",951,-0.00733376378045868
"Cornstarch_Bioplastic_1145",953,-0.00704414611920002
"Cornstarch_Bioplastic_1146",955,-0.00649770394400254
"Cornstarch_Bioplastic_1147",957,-0.00618654908569618
"Cornstarch_Bioplastic_1148",958,-0.00595014496810468
"Cornstarch_Bioplastic_1149",960,-0.00557428880652502
"Cornstarch_Bioplastic_1150",962,-0.00472108470452594
"Cornstarch_Bioplastic_1151",964,-0.00347905816547323
"Cornstarch_Bioplastic_1152",966,-0.00218291464821411
"Cornstarch_Bioplastic_1153",968,-0.00044449000940443
"Cornstarch_Bioplastic_1154",970,0.00215496502282179
"Cornstarch_Bioplastic_1155",972,0.00442293456406124
"Cornstarch_Bioplastic_1156",974,0.00504634874185541
"Cornstarch_Bioplastic_1157",976,0.00387595099626843
"Cornstarch_Bioplastic_1158",978,0.00213078609985935
"Cornstarch_Bioplastic_1159",980,0.00133306956900683
"Cornstarch_Bioplastic_1160",982,0.00153075970558671
"Cornstarch_Bioplastic_1161",984,0.00228696901432068
"Cornstarch_Bioplastic_1162",985,0.00336335482612337
"Cornstarch_Bioplastic_1163",987,0.00467304450393162
"Cornstarch_Bioplastic_1164",989,0.00633429338065764
"Cornstarch_Bioplastic_1165",991,0.00839673942166803
"Cornstarch_Bioplastic_1166",993,0.010449318474116
"Cornstarch_Bioplastic_1167",995,0.0128807901010784
"Cornstarch_Bioplastic_1168",997,0.0150088918650733
"Cornstarch_Bioplastic_1169",999,0.0150513329441889
"Cornstarch_Bioplastic_1170",1001,0.0138938729078565
"Cornstarch_Bioplastic_1171",1003,0.0134866358583551
"Cornstarch_Bioplastic_1172",1005,0.0140857015025497
"Cornstarch_Bioplastic_1173",1007,0.0155504165724801
"Cornstarch_Bioplastic_1174",1009,0.0175931615859662
"Cornstarch_Bioplastic_1175",1011,0.019992171804646
"Cornstarch_Bioplastic_1176",1012,0.0229506686147737
"Cornstarch_Bioplastic_1177",1014,0.0258221929572832
"Cornstarch_Bioplastic_1178",1016,0.0276278290489042
"Cornstarch_Bioplastic_1179",1018,0.027870182940433
"Cornstarch_Bioplastic_1180",1020,0.0266553766773512
"Cornstarch_Bioplastic_1181",1022,0.0239336202773927
"Cornstarch_Bioplastic_1182",1024,0.0203042906218761
"Cornstarch_Bioplastic_1183",1026,0.0171541594563132
"Cornstarch_Bioplastic_1184",1028,0.0145604119486337
"Cornstarch_Bioplastic_1185",1030,0.0119660808428896
"Cornstarch_Bioplastic_1186",1032,0.00992406619721977
"Cornstarch_Bioplastic_1187",1034,0.00849703906898812
"Cornstarch_Bioplastic_1188",1036,0.00772871063322829
"Cornstarch_Bioplastic_1189",1038,0.00739474986372945
"Cornstarch_Bioplastic_1190",1039,0.0070170831700888
"Cornstarch_Bioplastic_1191",1041,0.00664512466701712
"Cornstarch_Bioplastic_1192",1043,0.0059149290670473
"Cornstarch_Bioplastic_1193",1045,0.00439832194665802
"Cornstarch_Bioplastic_1194",1047,0.00204682498746755
"Cornstarch_Bioplastic_1195",1049,-0.000995130562631811
"Cornstarch_Bioplastic_1196",1051,-0.0041222406658498
"Cornstarch_Bioplastic_1197",1053,-0.00668334905266203
"Cornstarch_Bioplastic_1198",1055,-0.0082866853741232
"Cornstarch_Bioplastic_1199",1057,-0.00964930010316665
"Cornstarch_Bioplastic_1200",1059,-0.0110817460292421
"Cornstarch_Bioplastic_1201",1061,-0.0122828293027504
"Cornstarch_Bioplastic_1202",1063,-0.0129885689326404
"Cornstarch_Bioplastic_1203",1065,-0.013460390547698
"Cornstarch_Bioplastic_1204",1066,-0.0136300367496302
"Cornstarch_Bioplastic_1205",1068,-0.0133925977287939
