"","wavenumber","spectra"
"spectra1",678,0.0589547437410882
"spectra2",684,0.0609133638424902
"spectra3",690,0.058814989214555
"spectra4",696,0.05355003950095
"spectra5",702,0.0460089343453418
"spectra6",708,0.037082093391397
"spectra7",714,0.0280379811282316
"spectra8",720,0.0194095990212306
"spectra9",726,0.0120652223358196
"spectra10",732,0.00661105879730588
"spectra11",738,0.00290551132877871
"spectra12",744,0.000622826674832014
"spectra13",750,0.000108853071341163
"spectra14",756,0.000462161567378149
"spectra15",762,0.000467817020741512
"spectra16",768,0.000181871862300487
"spectra17",774,3.28073861209643e-05
"spectra18",780,0
"spectra19",786,0
"spectra20",792,0
"spectra21",798,0.000370788328535641
"spectra22",804,0.000523441937252981
"spectra23",810,7.86615403449646e-05
"spectra24",816,0.00111235266317417
"spectra25",822,0.00239246431138825
"spectra26",828,0.00356769543404033
"spectra27",834,0.00454364405218975
"spectra28",840,0.00440422447199389
"spectra29",846,0.00346464814247783
"spectra30",852,0.00838228290366563
"spectra31",858,0.013043805871301
"spectra32",864,0.0160688349865303
"spectra33",870,0.0177335290808261
"spectra34",876,0.0177456764922905
"spectra35",882,0.016215887667607
"spectra36",888,0.0133921894411786
"spectra37",894,0.00991917109718641
"spectra38",900,0.0062128359152943
"spectra39",906,0.00477080838996024
"spectra40",912,0.00969532045572077
"spectra41",918,0.0132247279919389
"spectra42",924,0.0158500827735484
"spectra43",930,0.0183685273396896
"spectra44",936,0.0211926779130896
"spectra45",942,0.0248682407738284
"spectra46",948,0.0291779249346051
"spectra47",954,0.0328300674542305
"spectra48",960,0.0344615862592034
"spectra49",966,0.0332972774967586
"spectra50",972,0.0294527840662397
"spectra51",978,0.023594155135736
"spectra52",984,0.0165137931075702
"spectra53",990,0.00944344114471308
"spectra54",996,0.00389046088275395
"spectra55",1002,0.00079495705457201
"spectra56",1008,0.000282513988810734
"spectra57",1014,0.000445435393589487
"spectra58",1020,0.000345633074097665
"spectra59",1026,0.000309147049333979
"spectra60",1032,0.000254688973348688
"spectra61",1038,0.00014671974150736
"spectra62",1044,5.76818418374002e-05
"spectra63",1050,0.000460518839994665
"spectra64",1056,0.00111684121967331
"spectra65",1062,0.00211100421518371
"spectra66",1068,0.00368220918480793
"spectra67",1074,0.005872592242752
"spectra68",1080,0.0082502466415323
"spectra69",1086,0.00943394827086669
"spectra70",1092,0.00943713799974234
"spectra71",1098,0.00844323543358802
"spectra72",1104,0.00668075556066312
"spectra73",1110,0.00443879029772211
"spectra74",1116,0.00211950780336583
"spectra75",1122,0.000226669051901244
"spectra76",1128,0.000712304884538992
"spectra77",1134,0.000635055168401667
