"","wavenumber","spectra"
"spectra1",675,0.0840722305538271
"spectra2",676,0.0850841357809583
"spectra3",677,0.085941371659751
"spectra4",678,0.0866252312466294
"spectra5",679,0.0871655495519602
"spectra6",680,0.0875860034502075
"spectra7",681,0.0878485481518357
"spectra8",682,0.0879324484256378
"spectra9",683,0.087893972406639
"spectra10",684,0.087784512095001
"spectra11",685,0.0875883143061605
"spectra12",686,0.0873010418215768
"spectra13",687,0.0869907256544285
"spectra14",688,0.0867179067689755
"spectra15",689,0.0864448870261302
"spectra16",690,0.0860948434536403
"spectra17",691,0.0856376186084612
"spectra18",692,0.085071486654915
"spectra19",693,0.0843898531922837
"spectra20",694,0.0836081882662795
"spectra21",695,0.0827591726835338
"spectra22",696,0.0818373797987969
"spectra23",697,0.0808053897241808
"spectra24",698,0.0796600637536292
"spectra25",699,0.0784131522775358
"spectra26",700,0.0770076955246785
"spectra27",701,0.0753604272412362
"spectra28",702,0.0735065728023232
"spectra29",703,0.0716203039232365
"spectra30",704,0.069834475289359
"spectra31",705,0.0681544286641775
"spectra32",706,0.0665363745850622
"spectra33",707,0.0649938880584941
"spectra34",708,0.0636116417299315
"spectra35",709,0.062503704153527
"spectra36",710,0.0617311916324414
"spectra37",711,0.0611577994067621
"spectra38",712,0.0603870336182573
"spectra39",713,0.0589806179589297
"spectra40",714,0.0568347877867663
"spectra41",715,0.0543043195956035
"spectra42",716,0.0519096405828666
"spectra43",717,0.0499367737868105
"spectra44",718,0.048358530435504
"spectra45",719,0.04700843869944
"spectra46",720,0.0457559201762754
"spectra47",721,0.0445451367731232
"spectra48",722,0.0433643169197262
"spectra49",723,0.0422360755288262
"spectra50",724,0.0412117137163003
"spectra51",725,0.0403380315079859
"spectra52",726,0.0396297171754459
"spectra53",727,0.039061985132725
"spectra54",728,0.0385812698651732
"spectra55",729,0.0381199482240664
"spectra56",730,0.0375964516386642
"spectra57",731,0.0369237856440572
"spectra58",732,0.0360697615829875
"spectra59",733,0.0351250435137938
"spectra60",734,0.0342574037585563
"spectra61",735,0.033574037593361
"spectra62",736,0.0330522876477909
"spectra63",737,0.0326122199834059
"spectra64",738,0.0322130143423237
"spectra65",739,0.0318589849076955
