"","wavenumber","spectra"
"5a5afc08b09efd35deccad142c167ebc1",102,NA
"5a5afc08b09efd35deccad142c167ebc2",108,NA
"5a5afc08b09efd35deccad142c167ebc3",114,NA
"5a5afc08b09efd35deccad142c167ebc4",120,NA
"5a5afc08b09efd35deccad142c167ebc5",126,NA
"5a5afc08b09efd35deccad142c167ebc6",132,NA
"5a5afc08b09efd35deccad142c167ebc7",138,NA
"5a5afc08b09efd35deccad142c167ebc8",144,NA
"5a5afc08b09efd35deccad142c167ebc9",150,NA
"5a5afc08b09efd35deccad142c167ebc10",156,NA
"5a5afc08b09efd35deccad142c167ebc11",162,NA
"5a5afc08b09efd35deccad142c167ebc12",168,NA
"5a5afc08b09efd35deccad142c167ebc13",174,NA
"5a5afc08b09efd35deccad142c167ebc14",180,NA
"5a5afc08b09efd35deccad142c167ebc15",186,NA
"5a5afc08b09efd35deccad142c167ebc16",192,NA
"5a5afc08b09efd35deccad142c167ebc17",198,NA
"5a5afc08b09efd35deccad142c167ebc18",204,NA
"5a5afc08b09efd35deccad142c167ebc19",210,NA
"5a5afc08b09efd35deccad142c167ebc20",216,NA
"5a5afc08b09efd35deccad142c167ebc21",222,NA
"5a5afc08b09efd35deccad142c167ebc22",228,NA
"5a5afc08b09efd35deccad142c167ebc23",234,NA
"5a5afc08b09efd35deccad142c167ebc24",240,NA
"5a5afc08b09efd35deccad142c167ebc25",246,NA
"5a5afc08b09efd35deccad142c167ebc26",252,NA
"5a5afc08b09efd35deccad142c167ebc27",258,NA
"5a5afc08b09efd35deccad142c167ebc28",264,NA
"5a5afc08b09efd35deccad142c167ebc29",270,NA
"5a5afc08b09efd35deccad142c167ebc30",276,NA
"5a5afc08b09efd35deccad142c167ebc31",282,NA
"5a5afc08b09efd35deccad142c167ebc32",288,NA
"5a5afc08b09efd35deccad142c167ebc33",294,NA
"5a5afc08b09efd35deccad142c167ebc34",300,NA
"5a5afc08b09efd35deccad142c167ebc35",306,NA
"5a5afc08b09efd35deccad142c167ebc36",312,NA
"5a5afc08b09efd35deccad142c167ebc37",318,NA
"5a5afc08b09efd35deccad142c167ebc38",324,NA
"5a5afc08b09efd35deccad142c167ebc39",330,NA
"5a5afc08b09efd35deccad142c167ebc40",336,NA
"5a5afc08b09efd35deccad142c167ebc41",342,NA
"5a5afc08b09efd35deccad142c167ebc42",348,NA
"5a5afc08b09efd35deccad142c167ebc43",354,NA
"5a5afc08b09efd35deccad142c167ebc44",360,NA
"5a5afc08b09efd35deccad142c167ebc45",366,NA
"5a5afc08b09efd35deccad142c167ebc46",372,NA
"5a5afc08b09efd35deccad142c167ebc47",378,NA
"5a5afc08b09efd35deccad142c167ebc48",384,NA
"5a5afc08b09efd35deccad142c167ebc49",390,NA
"5a5afc08b09efd35deccad142c167ebc50",396,NA
"5a5afc08b09efd35deccad142c167ebc51",402,0
"5a5afc08b09efd35deccad142c167ebc52",408,0
"5a5afc08b09efd35deccad142c167ebc53",414,0
"5a5afc08b09efd35deccad142c167ebc54",420,0
"5a5afc08b09efd35deccad142c167ebc55",426,0
"5a5afc08b09efd35deccad142c167ebc56",432,0
"5a5afc08b09efd35deccad142c167ebc57",438,0
"5a5afc08b09efd35deccad142c167ebc58",444,0
"5a5afc08b09efd35deccad142c167ebc59",450,0
"5a5afc08b09efd35deccad142c167ebc60",456,0
"5a5afc08b09efd35deccad142c167ebc61",462,0
"5a5afc08b09efd35deccad142c167ebc62",468,0
"5a5afc08b09efd35deccad142c167ebc63",474,0
"5a5afc08b09efd35deccad142c167ebc64",480,0.007
"5a5afc08b09efd35deccad142c167ebc65",486,0.019
"5a5afc08b09efd35deccad142c167ebc66",492,0.017
"5a5afc08b09efd35deccad142c167ebc67",498,0.01
"5a5afc08b09efd35deccad142c167ebc68",504,0.004
"5a5afc08b09efd35deccad142c167ebc69",510,0.006
"5a5afc08b09efd35deccad142c167ebc70",516,0.01
"5a5afc08b09efd35deccad142c167ebc71",522,0.015
"5a5afc08b09efd35deccad142c167ebc72",528,0.016
"5a5afc08b09efd35deccad142c167ebc73",534,0.033
"5a5afc08b09efd35deccad142c167ebc74",540,0.053
"5a5afc08b09efd35deccad142c167ebc75",546,0.062
"5a5afc08b09efd35deccad142c167ebc76",552,0.075
"5a5afc08b09efd35deccad142c167ebc77",558,0.088
"5a5afc08b09efd35deccad142c167ebc78",564,0.111
"5a5afc08b09efd35deccad142c167ebc79",570,0.147
"5a5afc08b09efd35deccad142c167ebc80",576,0.188
"5a5afc08b09efd35deccad142c167ebc81",582,0.252
"5a5afc08b09efd35deccad142c167ebc82",588,0.341
"5a5afc08b09efd35deccad142c167ebc83",594,0.47
"5a5afc08b09efd35deccad142c167ebc84",600,0.71
"5a5afc08b09efd35deccad142c167ebc85",606,0.958
"5a5afc08b09efd35deccad142c167ebc86",612,1
"5a5afc08b09efd35deccad142c167ebc87",618,0.906
"5a5afc08b09efd35deccad142c167ebc88",624,0.79
"5a5afc08b09efd35deccad142c167ebc89",630,0.726
"5a5afc08b09efd35deccad142c167ebc90",636,0.697
"5a5afc08b09efd35deccad142c167ebc91",642,0.608
"5a5afc08b09efd35deccad142c167ebc92",648,0.491
"5a5afc08b09efd35deccad142c167ebc93",654,0.359
"5a5afc08b09efd35deccad142c167ebc94",660,0.256
"5a5afc08b09efd35deccad142c167ebc95",666,0.241
"5a5afc08b09efd35deccad142c167ebc96",672,0.296
"5a5afc08b09efd35deccad142c167ebc97",678,0.346
"5a5afc08b09efd35deccad142c167ebc98",684,0.356
"5a5afc08b09efd35deccad142c167ebc99",690,0.342
"5a5afc08b09efd35deccad142c167ebc100",696,0.309
"5a5afc08b09efd35deccad142c167ebc101",702,0.241
"5a5afc08b09efd35deccad142c167ebc102",708,0.148
"5a5afc08b09efd35deccad142c167ebc103",714,0.063
"5a5afc08b09efd35deccad142c167ebc104",720,0.004
"5a5afc08b09efd35deccad142c167ebc105",726,0
"5a5afc08b09efd35deccad142c167ebc106",732,0
"5a5afc08b09efd35deccad142c167ebc107",738,0
"5a5afc08b09efd35deccad142c167ebc108",744,0
"5a5afc08b09efd35deccad142c167ebc109",750,0
"5a5afc08b09efd35deccad142c167ebc110",756,0
"5a5afc08b09efd35deccad142c167ebc111",762,0
"5a5afc08b09efd35deccad142c167ebc112",768,0
"5a5afc08b09efd35deccad142c167ebc113",774,0
"5a5afc08b09efd35deccad142c167ebc114",780,0
"5a5afc08b09efd35deccad142c167ebc115",786,0
"5a5afc08b09efd35deccad142c167ebc116",792,0
"5a5afc08b09efd35deccad142c167ebc117",798,0
"5a5afc08b09efd35deccad142c167ebc118",804,0
"5a5afc08b09efd35deccad142c167ebc119",810,0
"5a5afc08b09efd35deccad142c167ebc120",816,0
"5a5afc08b09efd35deccad142c167ebc121",822,0
"5a5afc08b09efd35deccad142c167ebc122",828,0.004
"5a5afc08b09efd35deccad142c167ebc123",834,0.032
"5a5afc08b09efd35deccad142c167ebc124",840,0.027
"5a5afc08b09efd35deccad142c167ebc125",846,0.02
"5a5afc08b09efd35deccad142c167ebc126",852,0.016
"5a5afc08b09efd35deccad142c167ebc127",858,0.015
"5a5afc08b09efd35deccad142c167ebc128",864,0.017
"5a5afc08b09efd35deccad142c167ebc129",870,0.021
"5a5afc08b09efd35deccad142c167ebc130",876,0.024
"5a5afc08b09efd35deccad142c167ebc131",882,0.025
"5a5afc08b09efd35deccad142c167ebc132",888,0.028
"5a5afc08b09efd35deccad142c167ebc133",894,0.035
"5a5afc08b09efd35deccad142c167ebc134",900,0.047
"5a5afc08b09efd35deccad142c167ebc135",906,0.068
"5a5afc08b09efd35deccad142c167ebc136",912,0.1
"5a5afc08b09efd35deccad142c167ebc137",918,0.135
"5a5afc08b09efd35deccad142c167ebc138",924,0.156
"5a5afc08b09efd35deccad142c167ebc139",930,0.168
"5a5afc08b09efd35deccad142c167ebc140",936,0.186
"5a5afc08b09efd35deccad142c167ebc141",942,0.217
"5a5afc08b09efd35deccad142c167ebc142",948,0.257
"5a5afc08b09efd35deccad142c167ebc143",954,0.304
"5a5afc08b09efd35deccad142c167ebc144",960,0.335
"5a5afc08b09efd35deccad142c167ebc145",966,0.328
"5a5afc08b09efd35deccad142c167ebc146",972,0.276
"5a5afc08b09efd35deccad142c167ebc147",978,0.195
"5a5afc08b09efd35deccad142c167ebc148",984,0.121
