,wavenumber,spectra_raw,spectra_proc,spectra_match
spectra1,402,0.530789219,0.145200618,0
spectra2,408,0.393745137,0.067144251,0
spectra3,414,0.327814313,0.018770761,0
spectra4,420,0.37900001,0.005893622,0
spectra5,426,0.399000127,0.012822667,0
spectra6,432,0.346263685,0.007990144,0
spectra7,438,0.31457221,0.006517556,0
spectra8,444,0.295494727,0.004147839,0
spectra9,450,0.271665503,0.000831973,0
spectra10,456,0.289301816,0.005026366,0
spectra11,462,0.285089262,0.001985537,0
spectra12,468,0.283964813,0.001289352,0
spectra13,474,0.307506793,0.004256202,0
spectra14,480,0.298067338,0.007702685,0.007
spectra15,486,0.31498201,0.01245619,0.019
spectra16,492,0.316490278,0.016863513,0.017
spectra17,498,0.302428481,0.021805961,0.01
spectra18,504,0.305084255,0.027126807,0.004
spectra19,510,0.306976967,0.032970705,0.006
spectra20,516,0.304486726,0.039251791,0.01
spectra21,522,0.311450135,0.049680206,0.015
spectra22,528,0.317162285,0.065661057,0.016
spectra23,534,0.325726063,0.080139987,0.033
spectra24,540,0.33527891,0.094553576,0.053
spectra25,546,0.345490933,0.108462909,0.062
spectra26,552,0.356354148,0.122194822,0.075
spectra27,558,0.355411981,0.137502823,0.088
spectra28,564,0.36595826,0.156017915,0.111
spectra29,570,0.383494211,0.176200682,0.147
spectra30,576,0.412049549,0.201896312,0.188
spectra31,582,0.444147433,0.265354625,0.252
spectra32,588,0.49159696,0.382151012,0.341
spectra33,594,0.555746836,0.523611068,0.47
spectra34,600,0.679869933,0.659604746,0.71
spectra35,606,0.877209144,0.767744796,0.958
spectra36,612,0.964131872,0.838265245,1
spectra37,618,0.895350961,0.861373714,0.906
spectra38,624,0.805505914,0.834621677,0.79
spectra39,630,0.74067727,0.7555957,0.726
spectra40,636,0.699753901,0.637237144,0.697
spectra41,642,0.647907408,0.525192921,0.608
spectra42,648,0.589024604,0.440621351,0.491
spectra43,654,0.509759694,0.377014007,0.359
spectra44,660,0.438955392,0.332194861,0.256
spectra45,666,0.431380407,0.307703322,0.241
spectra46,672,0.462529976,0.306415826,0.296
spectra47,678,0.496246367,0.318986044,0.346
spectra48,684,0.505878025,0.331315617,0.356
spectra49,690,0.498296308,0.338060103,0.342
spectra50,696,0.476949985,0.314125856,0.309
spectra51,702,0.433050497,0.262021876,0.241
spectra52,708,0.38656555,0.1974705,0.148
spectra53,714,0.366302595,0.133742933,0.063
spectra54,720,0.282058638,0.077830635,0.004
spectra55,726,0.249393184,0.034764804,0
spectra56,732,0.227477725,0.007275167,0
spectra57,738,0.207393305,0.007682304,0
spectra58,744,0.202677295,0.012722643,0
spectra59,750,0.197892017,0.003983478,0
spectra60,756,0.195093209,0.000134339,0
spectra61,762,0.19206092,0,0
spectra62,768,0.188298427,0,0
spectra63,774,0.185483587,0,0
spectra64,780,0.182182808,0,0
spectra65,786,0.179592158,0,0
spectra66,792,0.180263399,0,0
spectra67,798,0.182709943,0,0
spectra68,804,0.186254346,0.001446281,0
spectra69,810,0.190462483,0.000659899,0
spectra70,816,0.202726518,0.00076853,0
spectra71,822,0.22517568,0.0035607,0
spectra72,828,0.259848916,0.005468611,0.004
spectra73,834,0.277088416,0.006201744,0.032
spectra74,840,0.274355381,0.00218559,0.027
spectra75,846,0.277268122,0.02488653,0.02
spectra76,852,0.274022874,0.032705342,0.016
spectra77,858,0.281928222,0.107771722,0.015
spectra78,864,0.299252446,0.158519023,0.017
spectra79,870,0.401689152,0.188547766,0.021
spectra80,876,0.667389062,0.194264333,0.024
spectra81,882,0.413784964,0.178120121,0.025
spectra82,888,0.264909049,0.141607365,0.028
spectra83,894,0.265514231,0.090535121,0.035
spectra84,900,0.274278215,0.02953081,0.047
spectra85,906,0.288736027,0.013968928,0.068
spectra86,912,0.310311394,0.028787155,0.1
spectra87,918,0.331732541,0.064507163,0.135
spectra88,924,0.343121314,0.084661437,0.156
spectra89,930,0.351004938,0.104319619,0.168
spectra90,936,0.362166866,0.124313629,0.186
spectra91,942,0.379180754,0.150349466,0.217
spectra92,948,0.397982221,0.180692878,0.257
spectra93,954,0.419333156,0.206417053,0.304
spectra94,960,0.446158161,0.217428286,0.335
spectra95,966,0.461098645,0.209030118,0.328
spectra96,972,0.433266266,0.181144578,0.276
spectra97,978,0.377684746,0.140117862,0.195
spectra98,984,0.327841677,0.092679617,0.121
spectra99,990,0.297131627,0.046698166,0.072
spectra100,996,0.279264815,0.012044736,0.044
spectra101,1002,0.271984121,0.004692134,0.027
spectra102,1008,0.26789604,0.00764126,0.017
spectra103,1014,0.266762137,0.00500441,0.013
spectra104,1020,0.266950968,0.00187409,0.01
spectra105,1026,0.265493006,0,0.008
spectra106,1032,0.264809074,0.00017151,0.007
spectra107,1038,0.264895706,0.000885345,0.006
spectra108,1044,0.266788415,0.001359558,0.009
