"","wavenumber","spectra"
"spectra1",402,0.0148101208513219
"spectra2",408,0.00684855542385762
"spectra3",414,0.00191457341311407
"spectra4",420,0.000601135557150396
"spectra5",426,0.00130788186317608
"spectra6",432,0.000814975881202964
"spectra7",438,0.000664775370331618
"spectra8",444,0.000423069790544143
"spectra9",450,8.48593195170995e-05
"spectra10",456,0.000512677438167361
"spectra11",462,0.000202520109090315
"spectra12",468,0.000131510895216197
"spectra13",474,0.000434122611025912
"spectra14",480,0.000785655755996934
"spectra15",486,0.00127050198074472
"spectra16",492,0.00172003856381467
"spectra17",498,0.00222415664669011
"spectra18",504,0.00276687041032228
"spectra19",510,0.00336293424901676
"spectra20",516,0.00400359014513485
"spectra21",522,0.00506726399203781
"spectra22",528,0.00669727305922392
"spectra23",534,0.00817408981695439
"spectra24",540,0.00964424196629269
"spectra25",546,0.0110629611652273
"spectra26",552,0.0124635839128741
"spectra27",558,0.014024963913303
"spectra28",564,0.015913459695797
"spectra29",570,0.0179720543295341
"spectra30",576,0.0205929481142926
"spectra31",582,0.0270655464890253
"spectra32",588,0.0389785027034766
"spectra33",594,0.0534070950523927
"spectra34",600,0.0672781297831644
"spectra35",606,0.0783081600762872
"spectra36",612,0.0855010796318021
"spectra37",618,0.0878580890768434
"spectra38",624,0.0851294443354237
"spectra39",630,0.0770689808595447
"spectra40",636,0.0649966870458976
"spectra41",642,0.0535684403224174
"spectra42",648,0.0449423395072233
"spectra43",654,0.0384545402499892
"spectra44",660,0.033883093059497
"spectra45",666,0.0313850138076426
"spectra46",672,0.0312536921932131
"spectra47",678,0.0325358248185006
"spectra48",684,0.0337934121942075
"spectra49",690,0.0344813338521792
"spectra50",696,0.0320400971337637
"spectra51",702,0.0267256138611218
"spectra52",708,0.0201415256874168
"spectra53",714,0.0136414639639767
"spectra54",720,0.00793854134789488
"spectra55",726,0.00354592811822418
"spectra56",732,0.000742049940283195
"spectra57",738,0.000783576856391701
"spectra58",744,0.00129767956446991
"spectra59",750,0.000406305395318188
"spectra60",756,1.37022961750711e-05
"spectra61",762,0
"spectra62",768,0
"spectra63",774,0
"spectra64",780,0
"spectra65",786,0
"spectra66",792,0
"spectra67",798,0
"spectra68",804,0.000147517252056279
"spectra69",810,6.73081846620187e-05
"spectra70",816,7.83882711770356e-05
"spectra71",822,0.000363182985635837
"spectra72",828,0.000557785429362113
"spectra73",834,0.00063256325003085
"spectra74",840,0.000222925034128022
"spectra75",846,0.00253836740361298
"spectra76",852,0.00333586780894631
"spectra77",858,0.0109924616644219
"spectra78",864,0.0161685668070417
"spectra79",870,0.0192314278299263
"spectra80",876,0.0198145042180047
"spectra81",882,0.0181678325951425
"spectra82",888,0.0144436175738282
"spectra83",894,0.00923436902113285
"spectra84",900,0.00301207299187486
"spectra85",906,0.00142479775734188
"spectra86",912,0.00293622200359703
"spectra87",918,0.00657957865281512
"spectra88",924,0.00863526709218806
"spectra89",930,0.0106403553169754
"spectra90",936,0.0126796971794058
"spectra91",942,0.0153352912197255
"spectra92",948,0.0184302477174546
"spectra93",954,0.0210540530323831
"spectra94",960,0.0221771728540607
"spectra95",966,0.0213205794192575
"spectra96",972,0.018476320134857
"spectra97",978,0.0142916917668881
"spectra98",984,0.00945310258464135
"spectra99",990,0.00476310292162106
"spectra100",996,0.00122853470517384
"spectra101",1002,0.000478586649526368
"spectra102",1008,0.000779390471678939
"spectra103",1014,0.000510438072563296
"spectra104",1020,0.000191152714869002
"spectra105",1026,0
"spectra106",1032,1.74936249940351e-05
"spectra107",1038,9.03031329270357e-05
"spectra108",1044,0.000138671746518348
"spectra109",1050,0.000112663532617984
"spectra110",1056,7.44079075048421e-05
"spectra111",1062,0.000513028940057011
"spectra112",1068,0.00140624339215089
"spectra113",1074,0.0028081152982422
"spectra114",1080,0.00437740426744364
"spectra115",1086,0.00523025224798147
"spectra116",1092,0.00536665923985569
"spectra117",1098,0.004830845239579
"spectra118",1104,0.00380527721772564
"spectra119",1110,0.00246415838157945
"spectra120",1116,0.0010832180433949
"spectra121",1122,1.83594750812479e-05
"spectra122",1128,0.000497142119335239
"spectra123",1134,0.000349658130372027
"spectra124",1140,0
"spectra125",1146,0
"spectra126",1152,0
"spectra127",1158,0.000347845616339235
"spectra128",1164,0.000576897708162662
"spectra129",1170,0.000142277879941526
"spectra130",1176,0.00103589040942648
"spectra131",1182,0.00259893354974154
"spectra132",1188,0.0040674325040131
"spectra133",1194,0.00481591370214657
"spectra134",1200,0.00528388654772911
"spectra135",1206,0.00664620751065516
"spectra136",1212,0.00951498368177497
"spectra137",1218,0.0137360876816372
"spectra138",1224,0.0193990549000619
"spectra139",1230,0.0261281824321468
"spectra140",1236,0.0329903413817469
"spectra141",1242,0.0379997061849221
"spectra142",1248,0.0391141347873358
"spectra143",1254,0.035655397188112
"spectra144",1260,0.0289174113132711
"spectra145",1266,0.0208940215774597
"spectra146",1272,0.0132693171200625
"spectra147",1278,0.00718075083755483
"spectra148",1284,0.00328255847233968
"spectra149",1290,0.0020175141419617
