"","wavenumber","spectra"
"spectra1",402,0.0749992842762339
"spectra2",408,0.0556352736569176
"spectra3",414,0.0463194013316739
"spectra4",420,0.0535518215287285
"spectra5",426,0.056377791588882
"spectra6",432,0.0489262547604232
"spectra7",438,0.0444483229081103
"spectra8",444,0.0417527188176727
"spectra9",450,0.0383857048413192
"spectra10",456,0.0408776749491807
"spectra11",462,0.0402824508442232
"spectra12",468,0.0401235688218212
"spectra13",474,0.0434499959116366
"spectra14",480,0.0421162228935905
"spectra15",486,0.0445062266542211
"spectra16",492,0.044719341468575
"spectra17",498,0.0427324421924912
"spectra18",504,0.0431076968429786
"spectra19",510,0.0433751327193528
"spectra20",516,0.0430232674922215
"spectra21",522,0.0440071809894213
"spectra22",528,0.0448142945582745
"spectra23",534,0.0460243365118208
"spectra24",540,0.04737413152458
"spectra25",546,0.0488170667475627
"spectra26",552,0.0503520138145613
"spectra27",558,0.0502188877452811
"spectra28",564,0.0517090524414022
"spectra29",570,0.0541868416739266
"spectra30",576,0.0582216445716656
"spectra31",582,0.0627570011200996
"spectra32",588,0.0694615091039203
"spectra33",594,0.0785257376773123
"spectra34",600,0.096064042994608
"spectra35",606,0.123947615429282
"spectra36",612,0.136229595084007
"spectra37",618,0.126511011947729
"spectra38",624,0.113816115432483
"spectra39",630,0.104655978655881
"spectra40",636,0.0988736015017632
"spectra41",642,0.0915478124310309
"spectra42",648,0.0832278089794647
"spectra43",654,0.0720278612715205
"spectra44",660,0.0620233777676348
"spectra45",666,0.0609530499211946
"spectra46",672,0.0653544117212775
"spectra47",678,0.0701184594752126
"spectra48",684,0.0714793904355943
"spectra49",690,0.0704081113939017
"spectra50",696,0.0673919254864136
"spectra51",702,0.061189029807094
"spectra52",708,0.0546208146981954
"spectra53",714,0.0517577061522506
"spectra54",720,0.0398542306366653
"spectra55",726,0.0352386779261717
"spectra56",732,0.0321420744377593
"spectra57",738,0.0293041924647303
"spectra58",744,0.028637831244297
"spectra59",750,0.0279616825673994
"spectra60",756,0.0275662175129641
"spectra61",762,0.0271377621157436
"spectra62",768,0.026606130609832
"spectra63",774,0.0262084001597179
"spectra64",780,0.0257420078241029
"spectra65",786,0.0253759549968886
"spectra66",792,0.0254707998133167
"spectra67",798,0.0258164907258399
"spectra68",804,0.0263173066155122
"spectra69",810,0.0269119066514523
"spectra70",816,0.0286447863617507
"spectra71",822,0.0318168007799212
"spectra72",828,0.03671604847542
"spectra73",834,0.0391519499170297
"spectra74",840,0.038765778402821
"spectra75",846,0.0391773419166148
"spectra76",852,0.0387187958618544
"spectra77",858,0.0398358032379174
"spectra78",864,0.0422836757984239
"spectra79",870,0.0567577445458314
"spectra80",876,0.0943005250062214
"spectra81",882,0.0584668547604231
"spectra82",888,0.0374310335345364
"spectra83",894,0.0375165444451359
"spectra84",900,0.0387548749076955
"spectra85",906,0.0407977302738021
"spectra86",912,0.0438462795746888
"spectra87",918,0.0468730378390709
"spectra88",924,0.0484822449647449
"spectra89",930,0.0495961828660307
"spectra90",936,0.0511733372557561
"spectra91",942,0.0535773602053516
"spectra92",948,0.0562339638456752
"spectra93",954,0.0592508014104958
"spectra94",960,0.0630411122775358
"spectra95",966,0.0651521680398258
"spectra96",972,0.0612195174284529
"spectra97",978,0.0533659777727084
"spectra98",984,0.0463232677892991
"spectra99",990,0.0419840090290456
"spectra100",996,0.0394594699751037
"spectra101",1002,0.0384307247510373
"spectra102",1008,0.0378530885062241
"spectra103",1014,0.0376928705394191
"spectra104",1020,0.0377195520539419
"spectra105",1026,0.0375135453623188
"spectra106",1032,0.0374169073443983
"spectra107",1038,0.0374291482987552
"spectra108",1044,0.0376965836307054
"spectra109",1050,0.0383420409543569
"spectra110",1056,0.0392014147302905
"spectra111",1062,0.0399428575726141
"spectra112",1068,0.0408323836514523
"spectra113",1074,0.0418583515352697
"spectra114",1080,0.0432973746473029
"spectra115",1086,0.0449392167427386
"spectra116",1092,0.0465873661825726
"spectra117",1098,0.0464459101659751
"spectra118",1104,0.043587556493776
"spectra119",1110,0.0386867989211619
"spectra120",1116,0.0358609256846473
"spectra121",1122,0.0332987797510373
"spectra122",1128,0.0301649706431535
"spectra123",1134,0.0280219990456432
