"","wavenumber","spectra"
"Mater-Bi_Bioplastic_11",675,0.0921936002174061
"Mater-Bi_Bioplastic_12",677,0.091356680147539
"Mater-Bi_Bioplastic_13",679,0.0916230320160201
"Mater-Bi_Bioplastic_14",681,0.0929841992872504
"Mater-Bi_Bioplastic_15",683,0.0933648275763522
"Mater-Bi_Bioplastic_16",685,0.0937197603482067
"Mater-Bi_Bioplastic_17",687,0.0957323929599586
"Mater-Bi_Bioplastic_18",688,0.0970029619730778
"Mater-Bi_Bioplastic_19",690,0.0975697729161438
"Mater-Bi_Bioplastic_110",692,0.0980067960277115
"Mater-Bi_Bioplastic_111",694,0.0978930645907179
"Mater-Bi_Bioplastic_112",696,0.0999522908233517
"Mater-Bi_Bioplastic_113",698,0.102347731354223
"Mater-Bi_Bioplastic_114",700,0.103921038436899
"Mater-Bi_Bioplastic_115",702,0.10541585431062
"Mater-Bi_Bioplastic_116",704,0.106310626388245
"Mater-Bi_Bioplastic_117",706,0.106498060355032
"Mater-Bi_Bioplastic_118",708,0.105970200682018
"Mater-Bi_Bioplastic_119",710,0.105735180440073
"Mater-Bi_Bioplastic_120",712,0.106192259517053
"Mater-Bi_Bioplastic_121",714,0.107598437344737
"Mater-Bi_Bioplastic_122",715,0.109880632747235
"Mater-Bi_Bioplastic_123",717,0.113945875565107
"Mater-Bi_Bioplastic_124",719,0.120979856127811
"Mater-Bi_Bioplastic_125",721,0.132303639750633
"Mater-Bi_Bioplastic_126",723,0.151599885634734
"Mater-Bi_Bioplastic_127",725,0.184317143881331
"Mater-Bi_Bioplastic_128",727,0.208514970380232
"Mater-Bi_Bioplastic_129",729,0.198268668763821
"Mater-Bi_Bioplastic_130",731,0.175232834646559
"Mater-Bi_Bioplastic_131",733,0.153818011905193
"Mater-Bi_Bioplastic_132",735,0.130050234200743
"Mater-Bi_Bioplastic_133",737,0.107017394061661
"Mater-Bi_Bioplastic_134",739,0.0911809173522837
"Mater-Bi_Bioplastic_135",741,0.0831945468110459
"Mater-Bi_Bioplastic_136",742,0.0810480283087656
"Mater-Bi_Bioplastic_137",744,0.0816492532288181
"Mater-Bi_Bioplastic_138",746,0.0829664315487605
"Mater-Bi_Bioplastic_139",748,0.0847492119424707
"Mater-Bi_Bioplastic_140",750,0.0864140001292517
"Mater-Bi_Bioplastic_141",752,0.0867669014689935
"Mater-Bi_Bioplastic_142",754,0.086566480665753
"Mater-Bi_Bioplastic_143",756,0.0861698353981906
