"","wavenumber","spectra"
"spectra1",678,0.17111578505477
"spectra2",684,0.107862263311824
"spectra3",690,0.089260348225089
"spectra4",696,0.103090111600242
"spectra5",702,0.137131625242978
"spectra6",708,0.17916496095899
"spectra7",714,0.202055971133861
"spectra8",720,0.20347766710781
"spectra9",726,0.189141587858163
"spectra10",732,0.161537244525601
"spectra11",738,0.122704566989353
"spectra12",744,0.0751215895112983
"spectra13",750,0.0241095932978846
"spectra14",756,0.0142636666911576
"spectra15",762,0.00793061454468432
"spectra16",768,0.00109890506103671
"spectra17",774,0.00131910582778626
"spectra18",780,0.0012950720886499
"spectra19",786,0.00101299006874427
"spectra20",792,0.000128594261226914
"spectra21",798,0
"spectra22",804,0
"spectra23",810,0
"spectra24",816,0
"spectra25",822,0
"spectra26",828,0
"spectra27",834,0
"spectra28",840,0.00166532521836256
"spectra29",846,7.53653518347175e-05
"spectra30",852,0.00215832165321613
"spectra31",858,0.00379283591527034
"spectra32",864,0.00482817743432791
"spectra33",870,0.00526434621038883
"spectra34",876,0.00475312568300949
"spectra35",882,0.00259735372585302
"spectra36",888,0.00115718989724372
"spectra37",894,0.00198851213715112
"spectra38",900,0.00270473653300172
"spectra39",906,0.00982545010392007
"spectra40",912,0.0195978760169699
"spectra41",918,0.0289949903546577
"spectra42",924,0.036255965920589
"spectra43",930,0.0402809668915441
"spectra44",936,0.04028283478931
"spectra45",942,0.0366655078363779
"spectra46",948,0.0324315126313989
"spectra47",954,0.0282217627960682
"spectra48",960,0.024700803033199
"spectra49",966,0.0276864433922721
"spectra50",972,0.0382644454260927
"spectra51",978,0.0520089640489879
"spectra52",984,0.0653322382627551
"spectra53",990,0.084800424890708
"spectra54",996,0.106168363797546
"spectra55",1002,0.126171168640589
"spectra56",1008,0.139893471737869
"spectra57",1014,0.144417946504627
"spectra58",1020,0.141149546061177
"spectra59",1026,0.131953205800558
"spectra60",1032,0.118576911652132
"spectra61",1038,0.0996172882437336
"spectra62",1044,0.0769369380964493
"spectra63",1050,0.0645127329853742
"spectra64",1056,0.0615210469552993
"spectra65",1062,0.0647977359614272
"spectra66",1068,0.0687331830105381
"spectra67",1074,0.0779195399247881
"spectra68",1080,0.0961559684555573
"spectra69",1086,0.109249275935335
"spectra70",1092,0.118661584616429
"spectra71",1098,0.122933330979673
"spectra72",1104,0.118364851188705
"spectra73",1110,0.10876967852521
"spectra74",1116,0.0970661099573231
"spectra75",1122,0.0817291725978577
"spectra76",1128,0.0650726365583803
"spectra77",1134,0.0571543454655456
"spectra78",1140,0.0592347071698365
"spectra79",1146,0.059466458498221
"spectra80",1152,0.0637099514233782
"spectra81",1158,0.0693367500041145
"spectra82",1164,0.0700783892344151
"spectra83",1170,0.0648599705138986
