"","wavenumber","spectra"
"spectra1",675,0.239059101037129
"spectra2",676,0.239401468388301
"spectra3",677,0.239842529460581
"spectra4",678,0.24014713378967
"spectra5",679,0.240177131964323
"spectra6",680,0.240047344439834
"spectra7",681,0.239966764467953
"spectra8",682,0.240005206637627
"spectra9",683,0.240120712033195
"spectra10",684,0.240315200539307
"spectra11",685,0.240629957373989
"spectra12",686,0.241043576493776
"spectra13",687,0.241502122173823
"spectra14",688,0.242011667897138
"spectra15",689,0.242609729075073
"spectra16",690,0.243302422464219
"spectra17",691,0.244119324014932
"spectra18",692,0.245149928639569
"spectra19",693,0.246448030325659
"spectra20",694,0.24795568900871
"spectra21",695,0.249580953172957
"spectra22",696,0.251308279817465
"spectra23",697,0.253190160929075
"spectra24",698,0.255273608150145
"spectra25",699,0.257553027504667
"spectra26",700,0.259941858606387
"spectra27",701,0.262274996556731
"spectra28",702,0.264375707156192
"spectra29",703,0.266154440809129
"spectra30",704,0.267594370566273
"spectra31",705,0.268711954283344
"spectra32",706,0.269573692116183
"spectra33",707,0.270327834287492
"spectra34",708,0.27117080553827
"spectra35",709,0.272283888112033
"spectra36",710,0.273826090956233
"spectra37",711,0.27597003186061
"spectra38",712,0.278886029377593
"spectra39",713,0.282701695084007
"spectra40",714,0.287539405641983
"spectra41",715,0.293587511447532
"spectra42",716,0.301046965671023
"spectra43",717,0.310212760597262
"spectra44",718,0.321806181418498
"spectra45",719,0.337071297324206
"spectra46",720,0.357189624201576
"spectra47",721,0.382533608606387
"spectra48",722,0.412751994088363
"spectra49",723,0.446911054417254
"spectra50",724,0.481681088718374
"spectra51",725,0.50863099952292
"spectra52",726,0.5163232410618
"spectra53",727,0.499813017192037
"spectra54",728,0.466697555942751
"spectra55",729,0.430199635892116
"spectra56",730,0.398031286060983
"spectra57",731,0.370437268077162
"spectra58",732,0.344778646016597
"spectra59",733,0.319310939493881
"spectra60",734,0.293738039016801
"spectra61",735,0.268482828630705
"spectra62",736,0.24453082078407
"spectra63",737,0.223249223127982
"spectra64",738,0.205703296514523
"spectra65",739,0.192305351960175
"spectra66",740,0.183033871437461
"spectra67",741,0.177597221493776
"spectra68",742,0.17537474967849
"spectra69",743,0.175454121236002
"spectra70",744,0.177075789755288
"spectra71",745,0.179745088550093
"spectra72",746,0.183011879552053
"spectra73",747,0.186416398714226
"spectra74",748,0.189647096204107
"spectra75",749,0.19251918900871
"spectra76",750,0.194777154168395
"spectra77",751,0.196118911180253
"spectra78",752,0.19644196992949
"spectra79",753,0.195889287142265
"spectra80",754,0.194684894959552
"spectra81",755,0.193090841099585
"spectra82",756,0.191446719767683
"spectra83",757,0.190018844886953
"spectra84",758,0.188839531452282
"spectra85",759,0.187806620348475
"spectra86",760,0.186853441381456
"spectra87",761,0.185936500290456
"spectra88",762,0.184970513213026
"spectra89",763,0.183894806533914
"spectra90",764,0.18273476659751
"spectra91",765,0.181527799813317
"spectra92",766,0.180268726197884
"spectra93",767,0.17898200840249
"spectra94",768,0.177752814436839
"spectra95",769,0.176637962214849
"spectra96",770,0.175624828204065
"spectra97",771,0.174713069964738
"spectra98",772,0.173933393384488
"spectra99",773,0.173284516715056
"spectra100",774,0.172742777141672
"spectra101",775,0.172332479095811
"spectra102",776,0.172100824346744
"spectra103",777,0.172027736216553
"spectra104",778,0.172041704603899
"spectra105",779,0.172121969120697
"spectra106",780,0.172307372640531
"spectra107",781,0.172615914350892
"spectra108",782,0.173018795395146
"spectra109",783,0.173490369549886
"spectra110",784,0.174032778983402
"spectra111",785,0.174670963410081
"spectra112",786,0.175458657809583
"spectra113",787,0.176466902282158
"spectra114",788,0.177723385148309
"spectra115",789,0.179186987969301
"spectra116",790,0.180800670518672
"spectra117",791,0.182533409458619
"spectra118",792,0.184336857809583
"spectra119",793,0.186067428215768
"spectra120",794,0.187447456087949
"spectra121",795,0.18809981829496
"spectra122",796,0.187717982165077
"spectra123",797,0.186398841505912
"spectra124",798,0.184695159311489
"spectra125",799,0.183271912774782
"spectra126",800,0.182495915121344
"spectra127",801,0.182369257258399
