"","wavenumber","spectra"
"8086cc9e6afa8124b60c6a1de44e34a21",102,NA
"8086cc9e6afa8124b60c6a1de44e34a22",108,NA
"8086cc9e6afa8124b60c6a1de44e34a23",114,NA
"8086cc9e6afa8124b60c6a1de44e34a24",120,NA
"8086cc9e6afa8124b60c6a1de44e34a25",126,NA
"8086cc9e6afa8124b60c6a1de44e34a26",132,NA
"8086cc9e6afa8124b60c6a1de44e34a27",138,NA
"8086cc9e6afa8124b60c6a1de44e34a28",144,NA
"8086cc9e6afa8124b60c6a1de44e34a29",150,NA
"8086cc9e6afa8124b60c6a1de44e34a210",156,NA
"8086cc9e6afa8124b60c6a1de44e34a211",162,NA
"8086cc9e6afa8124b60c6a1de44e34a212",168,NA
"8086cc9e6afa8124b60c6a1de44e34a213",174,NA
"8086cc9e6afa8124b60c6a1de44e34a214",180,NA
"8086cc9e6afa8124b60c6a1de44e34a215",186,NA
"8086cc9e6afa8124b60c6a1de44e34a216",192,NA
"8086cc9e6afa8124b60c6a1de44e34a217",198,NA
"8086cc9e6afa8124b60c6a1de44e34a218",204,NA
"8086cc9e6afa8124b60c6a1de44e34a219",210,NA
"8086cc9e6afa8124b60c6a1de44e34a220",216,NA
"8086cc9e6afa8124b60c6a1de44e34a221",222,NA
"8086cc9e6afa8124b60c6a1de44e34a222",228,NA
"8086cc9e6afa8124b60c6a1de44e34a223",234,NA
"8086cc9e6afa8124b60c6a1de44e34a224",240,NA
"8086cc9e6afa8124b60c6a1de44e34a225",246,NA
"8086cc9e6afa8124b60c6a1de44e34a226",252,NA
"8086cc9e6afa8124b60c6a1de44e34a227",258,NA
"8086cc9e6afa8124b60c6a1de44e34a228",264,NA
"8086cc9e6afa8124b60c6a1de44e34a229",270,NA
"8086cc9e6afa8124b60c6a1de44e34a230",276,NA
"8086cc9e6afa8124b60c6a1de44e34a231",282,NA
"8086cc9e6afa8124b60c6a1de44e34a232",288,NA
"8086cc9e6afa8124b60c6a1de44e34a233",294,NA
"8086cc9e6afa8124b60c6a1de44e34a234",300,NA
"8086cc9e6afa8124b60c6a1de44e34a235",306,NA
"8086cc9e6afa8124b60c6a1de44e34a236",312,NA
"8086cc9e6afa8124b60c6a1de44e34a237",318,NA
"8086cc9e6afa8124b60c6a1de44e34a238",324,NA
"8086cc9e6afa8124b60c6a1de44e34a239",330,NA
"8086cc9e6afa8124b60c6a1de44e34a240",336,NA
"8086cc9e6afa8124b60c6a1de44e34a241",342,NA
"8086cc9e6afa8124b60c6a1de44e34a242",348,NA
"8086cc9e6afa8124b60c6a1de44e34a243",354,NA
"8086cc9e6afa8124b60c6a1de44e34a244",360,NA
"8086cc9e6afa8124b60c6a1de44e34a245",366,NA
"8086cc9e6afa8124b60c6a1de44e34a246",372,NA
"8086cc9e6afa8124b60c6a1de44e34a247",378,NA
"8086cc9e6afa8124b60c6a1de44e34a248",384,NA
"8086cc9e6afa8124b60c6a1de44e34a249",390,NA
"8086cc9e6afa8124b60c6a1de44e34a250",396,NA
"8086cc9e6afa8124b60c6a1de44e34a251",402,0
"8086cc9e6afa8124b60c6a1de44e34a252",408,0
"8086cc9e6afa8124b60c6a1de44e34a253",414,0
"8086cc9e6afa8124b60c6a1de44e34a254",420,0
"8086cc9e6afa8124b60c6a1de44e34a255",426,0
"8086cc9e6afa8124b60c6a1de44e34a256",432,0
"8086cc9e6afa8124b60c6a1de44e34a257",438,0
"8086cc9e6afa8124b60c6a1de44e34a258",444,0
"8086cc9e6afa8124b60c6a1de44e34a259",450,0
"8086cc9e6afa8124b60c6a1de44e34a260",456,0
"8086cc9e6afa8124b60c6a1de44e34a261",462,0
"8086cc9e6afa8124b60c6a1de44e34a262",468,0
"8086cc9e6afa8124b60c6a1de44e34a263",474,0
"8086cc9e6afa8124b60c6a1de44e34a264",480,0.004
"8086cc9e6afa8124b60c6a1de44e34a265",486,0.016
"8086cc9e6afa8124b60c6a1de44e34a266",492,0.018
"8086cc9e6afa8124b60c6a1de44e34a267",498,0.006
"8086cc9e6afa8124b60c6a1de44e34a268",504,0
"8086cc9e6afa8124b60c6a1de44e34a269",510,0
"8086cc9e6afa8124b60c6a1de44e34a270",516,0.005
"8086cc9e6afa8124b60c6a1de44e34a271",522,0.007
"8086cc9e6afa8124b60c6a1de44e34a272",528,0.013
"8086cc9e6afa8124b60c6a1de44e34a273",534,0.024
"8086cc9e6afa8124b60c6a1de44e34a274",540,0.038
"8086cc9e6afa8124b60c6a1de44e34a275",546,0.045
"8086cc9e6afa8124b60c6a1de44e34a276",552,0.051
"8086cc9e6afa8124b60c6a1de44e34a277",558,0.061
"8086cc9e6afa8124b60c6a1de44e34a278",564,0.077
"8086cc9e6afa8124b60c6a1de44e34a279",570,0.105
"8086cc9e6afa8124b60c6a1de44e34a280",576,0.141
"8086cc9e6afa8124b60c6a1de44e34a281",582,0.2
"8086cc9e6afa8124b60c6a1de44e34a282",588,0.28
"8086cc9e6afa8124b60c6a1de44e34a283",594,0.408
"8086cc9e6afa8124b60c6a1de44e34a284",600,0.683
"8086cc9e6afa8124b60c6a1de44e34a285",606,0.958
"8086cc9e6afa8124b60c6a1de44e34a286",612,1
"8086cc9e6afa8124b60c6a1de44e34a287",618,0.925
"8086cc9e6afa8124b60c6a1de44e34a288",624,0.821
"8086cc9e6afa8124b60c6a1de44e34a289",630,0.777
"8086cc9e6afa8124b60c6a1de44e34a290",636,0.783
"8086cc9e6afa8124b60c6a1de44e34a291",642,0.679
"8086cc9e6afa8124b60c6a1de44e34a292",648,0.534
"8086cc9e6afa8124b60c6a1de44e34a293",654,0.387
"8086cc9e6afa8124b60c6a1de44e34a294",660,0.269
"8086cc9e6afa8124b60c6a1de44e34a295",666,0.248
"8086cc9e6afa8124b60c6a1de44e34a296",672,0.297
"8086cc9e6afa8124b60c6a1de44e34a297",678,0.349
"8086cc9e6afa8124b60c6a1de44e34a298",684,0.367
"8086cc9e6afa8124b60c6a1de44e34a299",690,0.365
"8086cc9e6afa8124b60c6a1de44e34a2100",696,0.34
"8086cc9e6afa8124b60c6a1de44e34a2101",702,0.275
"8086cc9e6afa8124b60c6a1de44e34a2102",708,0.18
"8086cc9e6afa8124b60c6a1de44e34a2103",714,0.088
"8086cc9e6afa8124b60c6a1de44e34a2104",720,0.027
"8086cc9e6afa8124b60c6a1de44e34a2105",726,0
"8086cc9e6afa8124b60c6a1de44e34a2106",732,0
"8086cc9e6afa8124b60c6a1de44e34a2107",738,0
"8086cc9e6afa8124b60c6a1de44e34a2108",744,0
"8086cc9e6afa8124b60c6a1de44e34a2109",750,0
"8086cc9e6afa8124b60c6a1de44e34a2110",756,0
"8086cc9e6afa8124b60c6a1de44e34a2111",762,0
"8086cc9e6afa8124b60c6a1de44e34a2112",768,0
"8086cc9e6afa8124b60c6a1de44e34a2113",774,0
"8086cc9e6afa8124b60c6a1de44e34a2114",780,0
"8086cc9e6afa8124b60c6a1de44e34a2115",786,0
"8086cc9e6afa8124b60c6a1de44e34a2116",792,0
"8086cc9e6afa8124b60c6a1de44e34a2117",798,0
"8086cc9e6afa8124b60c6a1de44e34a2118",804,0
