"","wavenumber","spectra"
"spectra1",402,0.00269437526058123
"spectra2",408,0.00177228976632479
"spectra3",414,0.00445382251266248
"spectra4",420,0.0056638770599666
"spectra5",426,0.00571610748977096
"spectra6",432,0.00492416788360929
"spectra7",438,0.00417405106141576
"spectra8",444,0.00284147574910727
"spectra9",450,0.000811632636510186
"spectra10",456,0.0017841510422421
"spectra11",462,0.000875059113843989
"spectra12",468,0.000619366286621051
"spectra13",474,0.0015848427967773
"spectra14",480,0.00252082578153196
"spectra15",486,0.00346339295642912
"spectra16",492,0.00443943592810033
"spectra17",498,0.00590482374441855
"spectra18",504,0.00754145237395239
"spectra19",510,0.00926318832445655
"spectra20",516,0.0113538225536437
"spectra21",522,0.0148315363439985
"spectra22",528,0.0189624342944566
"spectra23",534,0.0229339771651297
"spectra24",540,0.0265557014697181
"spectra25",546,0.0299841972915486
"spectra26",552,0.0333852190554024
"spectra27",558,0.0372143635913877
"spectra28",564,0.0412848364652362
"spectra29",570,0.0453274934749643
"spectra30",576,0.0509073773233874
"spectra31",582,0.063408248279714
"spectra32",588,0.0839027534968656
"spectra33",594,0.108132402085077
"spectra34",600,0.130632290150158
"spectra35",606,0.148394408297283
"spectra36",612,0.159702825748542
"spectra37",618,0.163023466327367
"spectra38",624,0.157794390880833
"spectra39",630,0.143851958116036
"spectra40",636,0.124096221488233
"spectra41",642,0.105925668305212
"spectra42",648,0.0922127020608308
"spectra43",654,0.0821495775765636
"spectra44",660,0.0750488874599881
"spectra45",666,0.0716698941940168
"spectra46",672,0.0723805424537553
"spectra47",678,0.0753321623574955
"spectra48",684,0.0776845767014205
"spectra49",690,0.0782014181995408
"spectra50",696,0.0728023364274331
"spectra51",702,0.0629781308795653
"spectra52",708,0.0509630649560345
"spectra53",714,0.0382086160834131
"spectra54",720,0.0258509399124649
"spectra55",726,0.0154354510725337
"spectra56",732,0.00785676286773063
"spectra57",738,0.002794725147894
"spectra58",744,0.00024028005918225
"spectra59",750,0.000535698879352399
"spectra60",756,0.000845329624926146
"spectra61",762,0.000577487236982308
"spectra62",768,0.000115982587412636
"spectra63",774,0
"spectra64",780,0
"spectra65",786,0
"spectra66",792,0
"spectra67",798,0
"spectra68",804,0.000128695083430358
"spectra69",810,9.086402730042e-06
"spectra70",816,0.000163065832891213
"spectra71",822,0.000274883470952966
"spectra72",828,0.000344539316915301
"spectra73",834,2.01138518845417e-05
"spectra74",840,0.00219981614335675
"spectra75",846,0.0052737767855901
"spectra76",852,0.00422391136329852
"spectra77",858,0.0146882039023672
"spectra78",864,0.0219384894785218
"spectra79",870,0.0263000806637669
"spectra80",876,0.0273948067000142
"spectra81",882,0.0248147389253534
"spectra82",888,0.0192267289648828
"spectra83",894,0.0113231529633794
"spectra84",900,0.00222556768755679
"spectra85",906,0.00287484725447918
"spectra86",912,0.00452944046346806
"spectra87",918,0.00933865094938656
"spectra88",924,0.0128926564985829
"spectra89",930,0.0167091108349296
"spectra90",936,0.0210802571110599
"spectra91",942,0.0263644944888043
"spectra92",948,0.032707612476535
"spectra93",954,0.0383606817445309
"spectra94",960,0.041311741877024
"spectra95",966,0.0404617182400814
"spectra96",972,0.0356934460313998
