"","wavenumber","spectra"
"spectra1",402,0.0771562846578183
"spectra2",408,0.0728421444451359
"spectra3",414,0.0807684271624144
"spectra4",420,0.0818300292843809
"spectra5",426,0.0949832067226717
"spectra6",432,0.0819691157685128
"spectra7",438,0.072303100192906
"spectra8",444,0.0597301005496784
"spectra9",450,0.0583421434536403
"spectra10",456,0.0534782563119685
"spectra11",462,0.0551434965899191
"spectra12",468,0.0556367481248704
"spectra13",474,0.0567646890665837
"spectra14",480,0.0602227071126322
"spectra15",486,0.0633692952935076
"spectra16",492,0.0626802639079029
"spectra17",498,0.05868829858743
"spectra18",504,0.0586043921841942
"spectra19",510,0.0596394537212197
"spectra20",516,0.0616501729661896
"spectra21",522,0.0652145631590956
"spectra22",528,0.0661639322314392
"spectra23",534,0.0690448034010784
"spectra24",540,0.0728475173387264
"spectra25",546,0.0765992736237295
"spectra26",552,0.0777500908836341
"spectra27",558,0.0805502167786766
"spectra28",564,0.0829732917154117
"spectra29",570,0.0884292534287492
"spectra30",576,0.0947969323791745
"spectra31",582,0.10322541035055
"spectra32",588,0.114808246048538
"spectra33",594,0.131064211779345
"spectra34",600,0.163480892575695
"spectra35",606,0.207191646412277
"spectra36",612,0.221901012383323
"spectra37",618,0.205186704231487
"spectra38",624,0.184367928313628
"spectra39",630,0.171561881207218
"spectra40",636,0.162047114623522
"spectra41",642,0.148914469072806
"spectra42",648,0.134202238332296
"spectra43",654,0.115677889753163
"spectra44",660,0.100069577344398
"spectra45",666,0.100573518830361
"spectra46",672,0.109032250559934
"spectra47",678,0.116609136320266
"spectra48",684,0.11744584967849
"spectra49",690,0.116067353702551
"spectra50",696,0.110891871956026
"spectra51",702,0.0990522193030492
"spectra52",708,0.0851414118606098
"spectra53",714,0.0776002353951463
"spectra54",720,0.0570800712277064
"spectra55",726,0.0494667823143924
"spectra56",732,0.0432132272966805
"spectra57",738,0.037469052400415
"spectra58",744,0.0341844751285774
"spectra59",750,0.0314721521630029
"spectra60",756,0.0290163338228583
"spectra61",762,0.0269104848993985
"spectra62",768,0.0245390140199129
"spectra63",774,0.0220596042231902
"spectra64",780,0.0203425995125493
"spectra65",786,0.0188968007591786
"spectra66",792,0.0180448654158888
"spectra67",798,0.0173509809829946
"spectra68",804,0.0170880161343841
"spectra69",810,0.017707959219917
"spectra70",816,0.0191832616365899
"spectra71",822,0.0247478860091267
"spectra72",828,0.0353653495955196
"spectra73",834,0.0402173660941713
"spectra74",840,0.0391466433831155
"spectra75",846,0.0387738839016801
"spectra76",852,0.0375620205330844
"spectra77",858,0.0393133460900228
"spectra78",864,0.0442854480091248
"spectra79",870,0.0714340822936537
"spectra80",876,0.120017843467441
"spectra81",882,0.0598533178863306
"spectra82",888,0.0358658605600497
"spectra83",894,0.0353846547624974
"spectra84",900,0.0373675244306161
"spectra85",906,0.0410211695955196
"spectra86",912,0.0471649839004149
"spectra87",918,0.0530597833886354
"spectra88",924,0.0561571444110328
"spectra89",930,0.0580686261675653
"spectra90",936,0.0609839200456337
"spectra91",942,0.0655424902841734
"spectra92",948,0.0714685993466086
"spectra93",954,0.0780375272412363
"spectra94",960,0.0860309206969508
"spectra95",966,0.0903689376042315
"spectra96",972,0.0840503027913729
"spectra97",978,0.0695441545375363
"spectra98",984,0.0562330537577769
"spectra99",990,0.0476168154979253
"spectra100",996,0.0430430112780083
